video,cp,dg,G_continue,best,dg_project
LC_dv14_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,115474.58232880112,143737.575350179,brake,135268.88120248733
LC_dv14_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,8075365.48234419,8095675.379015332,brake,9179.45881268302
LC_dv14_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,88157.44567460043,108513.36898451153,brake,177254.58999867027
LC_dv14_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,96499.85267789345,117217.48790383921,brake,172829.11007971567
LC_dv14_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,97026.76795591044,119186.9338667179,brake,167286.98238433583
LC_dv14_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,105474.79378166285,132004.74148570764,brake,162524.92287517822
LC_dv14_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,132307189.34956808,132327496.95022994,brake,13309.872116924562
LC_dv14_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,75530.04510512992,95837.69061425538,brake,185677.90972257545
LC_dv14_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,84238.15660999317,104546.37207654165,brake,185161.2304813072
LC_dv14_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,89486.16636233307,109938.415798062,brake,182266.88857642817
LC_dv14_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,95151.51691820486,118396.32683081625,brake,179044.02929032044
LC_dv14_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,412118.64075886837,416386.3164695801,ease_off,24665.62613358091
LC_dv14_Tlc3p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,63694.81708232047,84002.41708232046,brake,173738.46399832412
LC_dv14_Tlc3p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,75615.8242403218,95923.4242403218,brake,181383.06350062156
LC_dv14_Tlc3p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,26840.524801316853,30093.73273265912,ease_off,23085.440981831944
LC_dv14_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,62126.16275927813,70936.44285106738,ease_off,151654.83091128222
LC_dv14_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,66656.7976039853,80929.07204427992,ease_off,159983.66563336807
LC_dv14_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,4939203.0379298115,4959534.731110747,brake,7913.139346820964
LC_dv14_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,96995.13450049618,117535.96372862227,brake,152983.7883279969
LC_dv14_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,107312.29017540092,129209.5788156373,brake,139231.920730192
LC_dv14_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,111425.8929058864,135237.57420109297,brake,129411.23677607386
LC_dv14_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,115958.07278625257,143246.25228695854,brake,117142.39000400068
LC_dv14_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,54258726.862835445,54279036.81173271,brake,8960.00142820392
LC_dv14_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,87229.024150246,107575.55769583459,brake,177168.91753598713
LC_dv14_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,94757.46889793916,115237.58085754442,brake,172720.0221645015
LC_dv14_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,99003.42329654236,120351.73175419275,brake,167041.70641455302
LC_dv14_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,104377.54129266462,128319.68001665018,brake,162298.3952416339
LC_dv14_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,1521523.7720128985,1541831.3728558866,brake,13006.987809795613
LC_dv14_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,74727.58843510892,95035.23236436577,brake,185452.9583871112
LC_dv14_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,82374.83142145691,102683.02749731713,brake,184925.78985213858
LC_dv14_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,86960.171038569,107308.99765973879,brake,182106.47398097246
