video,cp,dg,G_continue,dg_released
LC_dv21_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,171158.44781953288,198899.08727120134,197020.91082463745
LC_dv21_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,173950.47057819107,206359.4455805332,302992.7650813904
LC_dv21_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,20849.450406882614,29568.413389175268,481736.4202401248
LC_dv21_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,138760.16778565897,159067.76778565897,656398.9011841529
LC_dv21_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,148112.21697129132,168419.81697129132,183272.95777166614
LC_dv21_Tlc4p0_TTC07_CP1_S5p033_E15p033.mp4,CP1,21762.76753511006,26540.36787579646,43675058.97537515
LC_dv21_Tlc4p0_TTC07_CP2_S5p333_E15p333.mp4,CP2,93265.10306075419,102858.92524465243,39801.92800737907
LC_dv21_Tlc4p0_TTC07_CP4_S5p933_E15p933.mp4,CP4,116209.76335833539,133322.22296941787,146178.11952099713
LC_dv28_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.0,12890.938126388528,66859737.23771623
LC_dv28_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,172295.8429819288,249348.3167055632,170962.6390989894
LC_dv28_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,181989.3291653838,264490.8261468366,155191.27008458003
LC_dv28_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,181745.56550876528,267488.70110270515,146464.76888532712
LC_dv28_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,172885.72941218247,262899.8389970381,149558.4785397512
LC_dv28_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.0,19107.83129195638,144621219.72857445
LC_dv28_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,197611.87541176632,248371.04131391694,155750.0172377208
LC_dv28_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,172062.3278687743,231303.48583205632,755249.2144525435
LC_dv28_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,146467.3103595053,210148.32228143656,143821748.87868655
LC_dv28_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,140767.3499353845,206584.5873514528,357927.16766985256
LC_dv28_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,5429.6905445776065,25790.09964590975,1730086.46364492
LC_dv28_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,156621.92607912456,183987.54342106116,671427.3728569952
LC_dv28_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,104383.08188602087,138572.4971258268,124223289.59799676
