video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,theta_dot,gate_g1,pred_B-log,pred_B-lin,pred_C,pred_C-log
LC_dv21_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.4230769230769231,13,3.0,2.7,15.75,21.0,0.0440989048765707,0.7577208282829206,0.46091509064170627,0.41412386550465696,0.41962567325951466,0.4642372478755143
LC_dv21_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,0.5833333333333334,12,3.0,2.4,13.999999999999998,21.0,0.05575999447787281,0.9310740992928537,0.6246459814754044,0.6001028411344097,0.6091600327791361,0.6300198593812963
LC_dv21_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,0.6538461538461539,13,3.0,2.1,12.25,21.0,0.07272924924602557,0.9421090090066966,0.6936930895615109,0.72567430799742,0.7326796883172274,0.6990168835591176
LC_dv21_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,0.8333333333333334,12,3.0,1.8,10.5,21.0,0.09878333395014804,0.9829628745313249,0.7888386275215292,0.8888987864170612,0.8847035955850054,0.7921621392090569
LC_dv21_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.2307692307692307,13,4.0,3.7,21.58333333333333,21.0,0.023522021501625433,0.7701660893151503,0.3331665818858658,0.27965378340821134,0.2795312063373946,0.32880015592538364
LC_dv21_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.3333333333333333,12,4.0,3.4,19.83333333333333,21.0,0.027846362030795428,0.936778834257638,0.45022572286485735,0.3744883186044896,0.3748439830008715,0.4465203693517523
LC_dv21_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.5,13,4.0,3.1,18.08333333333333,21.0,0.03348150942630854,0.9412854801114635,0.5020317382121552,0.42248180486915327,0.42390187973939886,0.5004697085311878
LC_dv21_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.625,12,4.0,2.8,16.333333333333332,21.0,0.041015466162458554,0.9830904593602893,0.5807296645107977,0.5068345051677833,0.5101473475498037,0.5816230847445398
LC_dv21_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,0.125,12,6.0,5.4,31.5,21.0,0.011054215203628724,0.9343622237825722,0.22066778628424236,0.2816741831891963,0.2803010983752329,0.21958308486232486
LC_dv21_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,0.3333333333333333,12,6.0,4.8,28.0,21.0,0.013987178510865244,0.9825751718430129,0.2861808488327115,0.31632194592116747,0.3148419167735501,0.2826313405301314
LC_dv21_Tlc4p0_TTC07_CP2_S5p333_E15p333.mp4,CP2,0.0769230769230769,13,7.0,6.7,39.083333333333336,21.0,0.007182928383161095,0.5590199287179077,0.09449985997094379,0.1557511116658128,0.15494306474356184,0.08877977113536782
LC_dv21_Tlc4p0_TTC07_CP4_S5p933_E15p933.mp4,CP4,0.2307692307692307,13,7.0,6.1,35.58333333333333,21.0,0.008664420942705819,0.9317416850449286,0.17303821930793215,0.2686645593306962,0.2671936459767573,0.1755861055531587
LC_dv28_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,0.7307692307692307,13,2.0,1.7,13.22222222222222,28.0,0.08330520589374905,0.9981992703970146,0.7725541903334614,0.8731047882105889,0.8685267693728902,0.7764474975977337
LC_dv28_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,0.9230769230769232,13,2.0,1.4,10.888888888888888,28.0,0.12253966780977293,0.9999973241348752,0.8502697134524697,0.9824008718083778,0.970233307291133,0.8513815367807661
LC_dv28_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,0.9615384615384616,13,2.0,1.1,8.555555555555555,28.0,0.19758615922109735,0.999998640030944,0.9179927398879879,0.9999574370176053,0.9985395983070264,0.9142017355399741
LC_dv28_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,0.9615384615384616,13,2.0,0.8,6.222222222222222,28.0,0.36962656837540764,0.999999998160105,0.9682974003733178,0.9999999981601048,0.9999987498130462,0.9607691312626908
LC_dv28_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.5384615384615384,13,3.0,2.7,21.0,28.0,0.03312572692963807,0.9974924370673178,0.5268192566402434,0.450404357782772,0.45386940695102795,0.528181879611532
LC_dv28_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,0.5,13,3.0,2.4,18.666666666666664,28.0,0.041902444398814305,0.9999961019290455,0.5942102923965514,0.5275594274399451,0.5341054685685477,0.5981367701018275
LC_dv28_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,0.6923076923076923,13,3.0,2.1,16.333333333333332,28.0,0.054687288216611424,0.9999987309844237,0.665854634220202,0.6357983380855583,0.6454221651341188,0.6715619233975202
LC_dv28_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,0.6538461538461539,13,3.0,1.8,14.0,28.0,0.07434665930383041,0.9999999983319441,0.741423900584835,0.7808024390969346,0.7876709917770824,0.7469820939116698
LC_dv28_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.3846153846153846,13,4.0,3.7,28.77777777777778,28.0,0.017656171336974957,0.998066971730018,0.35287866977646715,0.314771910140161,0.31448001591010655,0.34588590751704984
LC_dv28_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.2692307692307692,13,4.0,3.4,26.444444444444443,28.0,0.020905313680123473,0.9999971791925669,0.39957269726842237,0.3414988830775173,0.34118953264580043,0.3930754311594669
LC_dv28_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.4615384615384615,13,4.0,3.1,24.11111111111111,28.0,0.02514083543290159,0.9999984843450851,0.4514488290292425,0.3767027723673445,0.3767053484150611,0.446391428059304
LC_dv28_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.3846153846153846,13,4.0,2.8,21.77777777777777,28.0,0.030806186440160553,0.999999998020036,0.5095332572309929,0.4253912168650207,0.4263153925039013,0.5068053655207724
LC_dv28_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,0.2692307692307692,13,5.0,4.4,34.22222222222222,28.0,0.012489081565197457,0.9999970969959394,0.25692404431931126,0.2936117286928244,0.292833516741142,0.25322715209558727
LC_dv28_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,0.1538461538461538,13,5.0,3.8,29.55555555555556,28.0,0.01674005507579012,0.9999999979586583,0.3302908417643301,0.32470277761337296,0.3238433032434664,0.32483640228112304
LC_dv28_Tlc2p0_TTC06_CP2_S5p333_E15p333.mp4,CP2,0.2307692307692307,13,6.0,5.7,44.333333333333336,28.0,0.007444212483553206,0.9613579655372053,0.15191257388172424,0.26639677595719763,0.26524304674903326,0.15683337467453168
LC_dv28_Tlc2p0_TTC06_CP4_S5p933_E15p933.mp4,CP4,0.3846153846153846,13,6.0,5.1,39.66666666666666,28.0,0.009297782847928416,0.9999969403117667,0.19945143572148963,0.2894894183371017,0.2881204144593926,0.2010100563507067
LC_dv28_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,0.5416666666666666,12,2.0,1.7,13.22222222222222,28.0,0.08330520589374905,0.7652314182648793,0.5947793272965197,0.6693325027731832,0.6658229386041217,0.5952338750544496
LC_dv28_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,0.7916666666666666,12,2.0,1.4,10.888888888888888,28.0,0.12253966780977293,0.9930060847520041,0.8444010490870443,0.975532653781553,0.9634501558318276,0.8454293087236159
LC_dv28_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,0.9166666666666666,12,2.0,1.1,8.555555555555555,28.0,0.19758615922109735,0.9940167607914941,0.9125662589954726,0.9939758042639335,0.992566446890844,0.9087330837202815
LC_dv28_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,1.0,12,2.0,0.8,6.222222222222222,28.0,0.36962656837540764,0.99798470429574,0.9663678439049393,0.9979847043004539,0.9979834584644673,0.9588328991238235
LC_dv28_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.4166666666666667,12,3.0,2.7,21.0,28.0,0.03312572692963807,0.9280767884615826,0.49015782628650467,0.4190606508404879,0.4222845667106004,0.4914256232304558
LC_dv28_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,0.6666666666666666,12,3.0,2.4,18.666666666666664,28.0,0.041902444398814305,0.9935563521312816,0.5903837119523366,0.5241620634811486,0.5306659495778597,0.5942849039426815
LC_dv28_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,0.8333333333333334,12,3.0,2.1,16.333333333333332,28.0,0.054687288216611424,0.9952697590284613,0.6627058223928141,0.6327916617599773,0.6423699779421699,0.6683861218649395
LC_dv28_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,0.8333333333333334,12,3.0,1.8,14.0,28.0,0.07434665930383041,0.9996209779324361,0.741142885806209,0.780506499044069,0.7873724484026002,0.7466989724595378
LC_dv28_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.2083333333333333,12,4.0,3.7,28.77777777777778,28.0,0.017656171336974957,0.927242239074523,0.32783772838675485,0.2924350961728359,0.29216391520423723,0.3213411859821455
LC_dv28_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.4166666666666667,12,4.0,3.4,26.444444444444443,28.0,0.020905313680123473,0.9943994821688934,0.3973360041324006,0.33958727041242415,0.3392796516269939,0.39087510786349233
LC_dv28_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.4583333333333333,12,4.0,3.1,24.11111111111111,28.0,0.02514083543290159,0.9952558394504715,0.4493077643605304,0.37491620218664284,0.37491876600978435,0.4442743488925579
LC_dv28_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.6666666666666666,12,4.0,2.8,21.77777777777777,28.0,0.030806186440160553,0.9995353684853555,0.5092965130362473,0.42519356754219306,0.42611731378106293,0.5065698887859398
LC_dv28_Tlc3p0_TTC06_CP3_S5p633_E15p633.mp4,CP3,0.0833333333333333,12,6.0,5.4,42.0,28.0,0.008293896649591041,0.9880454208558319,0.17524252994640954,0.2793698712940327,0.2780997923237595,0.1785866489023065
LC_dv28_Tlc3p0_TTC06_CP5_S6p233_E16p233.mp4,CP5,0.2083333333333333,12,6.0,4.8,37.33333333333333,28.0,0.010495564205660435,0.9981817282233968,0.22426565723024725,0.29708860051865393,0.2956473122269052,0.22398960173103769
LC_dv28_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,0.0,12,7.0,6.7,52.11111111111112,28.0,0.005388562113198003,0.9248374121597888,0.10541736607314706,0.24697390329903254,0.24583453166291092,0.11218012611453661
LC_dv28_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,0.2083333333333333,12,7.0,6.1,47.44444444444444,28.0,0.006500303147116412,0.9950135522485216,0.13662385567696655,0.27281764513134205,0.2714535866364103,0.1439936501226948
LC_dv28_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,0.6666666666666666,12,2.0,1.7,13.22222222222222,28.0,0.08330520589374905,0.7716961802889222,0.599712506586591,0.6749870998362192,0.6714478864898011,0.6002624785056786
LC_dv28_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,0.7916666666666666,12,2.0,1.4,10.888888888888888,28.0,0.12253966780977293,0.938881822275994,0.7989674552558671,0.9223607889850028,0.9109368531265196,0.7993487876544079
LC_dv28_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,0.9166666666666666,12,2.0,1.1,8.555555555555555,28.0,0.19758615922109735,0.9325361882255854,0.8567939608705619,0.9324977650301354,0.9311755771675123,0.8525273611404953
LC_dv28_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,0.9166666666666666,12,2.0,0.8,6.222222222222222,28.0,0.36962656837540764,0.9813204598217244,0.9504125525779309,0.9813204598654189,0.9813192347932124,0.9428224074079175
LC_dv28_Tlc4p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,0.375,12,3.0,2.7,21.0,28.0,0.03312572692963807,0.5510374230668955,0.29102689957651307,0.2488135723789976,0.25072774401227477,0.2917796376556646
LC_dv28_Tlc4p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,0.5,12,3.0,2.4,18.666666666666664,28.0,0.041902444398814305,0.9225191252157893,0.548172496942018,0.48668555864250757,0.4927244303116162,0.5517947608488657
LC_dv28_Tlc4p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,0.6666666666666666,12,3.0,2.1,16.333333333333332,28.0,0.054687288216611424,0.9330618737386368,0.621284361918637,0.5932399414903009,0.6022195789785149,0.6266096217541833
LC_dv28_Tlc4p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,0.7916666666666666,12,3.0,1.8,14.0,28.0,0.07434665930383041,0.9598099465153931,0.7116260360665827,0.7494219485621287,0.7560144537503625,0.7169608448012469
