a_other_min,response_time,a_max,tau_inv_mu,collision_ref_speed,counterfactual_residual_severity,rho_gap,rho_p,rows,n_rows
-2.0,0.5,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-10.0,0.5,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-4.0,1.0,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-4.0,0.5,8.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-4.0,0.5,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-10.0,0.5,8.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-4.0,1.0,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-10.0,1.0,8.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-4.0,2.0,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-10.0,1.0,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-2.0,2.0,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-10.0,1.0,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-4.0,1.0,8.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-4.0,0.5,4.0,0.4,1000000.0,True,-0.26703949749890876,0.5245960050491241,3,24
-4.0,2.0,8.0,0.4,1000000.0,True,-0.26703949749890876,0.5245960050491241,3,24
-6.0,0.5,8.0,0.4,1000000.0,True,-0.26703949749890876,0.5245960050491241,3,24
-4.0,2.0,12.0,0.4,1000000.0,True,-0.26703949749890876,0.5245960050491241,3,24
-2.0,0.5,8.0,0.4,1000000.0,False,-0.26702342075449487,0.5245975125753324,3,24
-2.0,1.0,8.0,0.4,1000000.0,False,-0.2665117281236951,0.5243073137802553,3,24
-2.0,2.0,12.0,0.4,1000000.0,False,-0.2658731799315043,0.5238329455334108,3,24
-4.0,0.5,12.0,0.4,1000000.0,False,-0.259391739941375,0.5185455486125436,2,24
-10.0,0.5,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,1.0,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,2.0,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,2.0,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,2.0,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-6.0,0.5,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-6.0,2.0,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-6.0,0.5,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-10.0,2.0,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,1.0,12.0,0.2,1000000.0,False,-0.2555740155413291,0.5146759800904815,3,24
-6.0,2.0,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-6.0,0.5,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-10.0,0.5,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-6.0,1.0,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-6.0,1.0,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-6.0,2.0,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,1.0,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-10.0,2.0,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,0.5,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-6.0,1.0,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,1.0,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,0.5,12.0,0.2,1000000.0,False,-0.2555740155413291,0.5146759800904815,3,24
-4.0,0.5,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-10.0,1.0,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-10.0,1.0,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-4.0,2.0,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-4.0,0.5,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-10.0,0.5,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-4.0,2.0,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-10.0,1.0,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,0.5,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-4.0,1.0,8.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-4.0,1.0,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-4.0,0.5,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
