video,cp,eps,epistemic,g_alpha1,eps_continue,dg_planner,min_eps,p,n,ttc_start,ttc_true,distance
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,450020.7300312857,32.05168844584841,449988.6783428399,450020.7300312857,386871.6632471976,63149.06678408815,0.0416666666666666,12,6.0,6.0,11.666666666666666
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,450550.4383666352,105.28620697528822,450445.1521596599,450550.4383666352,384745.22366986366,65805.21469677152,0.4583333333333333,12,6.0,5.4,10.5
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,451626.33171261835,124.63845105777727,451501.6932615606,451626.3317126184,383398.5516122801,68227.78010033834,0.7083333333333334,12,6.0,4.8,9.333333333333332
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,451910.548562315,15.365926584869158,451895.18263573013,451910.548562315,386358.4249275886,65552.12363472639,0.0384615384615384,13,7.0,7.0,13.61111111111111
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,450020.7299311774,58.856677667063195,449961.87325351033,450020.7299311774,387139.4726118354,62881.257319341996,0.3076923076923077,13,7.0,6.7,13.02777777777778
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,450021.53540859564,32.17382993065985,449989.361578665,450021.5354085957,381036.2923586468,68985.24304994888,0.5769230769230769,13,7.0,6.1,11.86111111111111
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,450020.6687483003,28.223537696467247,449992.4452106038,450020.6687483003,385330.2527559552,64690.41599234508,0.0769230769230769,26,2.0,2.0,7.777777777777778
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,450415.95253920235,29.823160961910617,450386.12937824044,450415.9525392024,385266.8706831637,65149.08185603871,0.9230769230769232,13,2.0,1.7,6.611111111111111
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,457168.93204297737,114.86977641895646,457054.0622665584,457168.93204297737,391915.4099945788,65253.52204839856,1.0,13,2.0,1.4,5.444444444444444
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,450020.6686292214,28.31296861730516,449992.3556606041,450020.6686292214,387235.4770160855,62785.19161313586,0.9230769230769232,13,2.0,1.1,4.277777777777778
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,458642.4346996507,87.22472903056769,458555.2099706201,458642.4346996507,379259.27631421806,79383.15838543262,1.0,13,2.0,0.8,3.111111111111111
