cp,p,n,ttc_start,ttc_true,distance,lcd,gate_E,gate_G,gate_R,gate_G.1,gate_JJ.6e
CP2,0.6666666666666666,12,2.0,1.7,6.611111111111111,3.0,0.9685101790053632,0.9331826261459365,0.992681161008868,0.7633659258264393,0.7145296640985588
CP3,1.0,12,2.0,1.4,5.444444444444444,3.0,0.9994786251558789,0.9999999995242094,1.0,0.9930843699650579,0.9895866407904483
CP4,0.875,12,2.0,1.1,4.277777777777778,3.0,0.9995281710109488,0.9999999997740643,1.0,0.9938957654158629,0.9907524843906369
CP5,1.0,12,2.0,0.8,3.111111111111111,3.0,0.999855935898335,0.9999999999998662,1.0,0.9982050834916191,0.9971241973776559
CP1,0.0833333333333333,24,3.0,3.0,11.666666666666666,3.0,0.006049167782083642,8.364860275909025e-06,1.2261326321613114e-12,0.07000449169775758,0.051946899341114953
CP2,0.7083333333333334,12,3.0,2.7,10.5,3.0,0.9940019025608346,0.9997044318307348,0.9999999887601227,0.9262592498030785,0.902852861471274
CP3,0.8333333333333334,12,3.0,2.4,9.333333333333332,3.0,0.9995053036932242,0.9999999996602731,1.0,0.9934643023675425,0.9901315728443864
CP4,0.875,12,3.0,2.1,8.166666666666666,3.0,0.9995342689623421,0.9999999997925757,1.0,0.9939824095323917,0.9908774498397945
CP5,1.0,12,3.0,1.8,7.0,3.0,0.9999512163888542,0.9999999999999999,1.0,0.9994519960911403,0.9990775947637479
CP1,0.0,24,4.0,4.0,15.555555555555555,3.0,0.005998859683089441,8.066986307803932e-06,1.1168656277743225e-12,0.06959850821849405,0.051625511135871986
CP2,0.4583333333333333,12,4.0,3.7,14.38888888888889,3.0,0.9941025187588229,0.9997269263255674,0.9999999908079718,0.9273818432199612,0.904234025900601
CP3,0.7083333333333334,12,4.0,3.4,13.22222222222222,3.0,0.9995693321828532,0.9999999998627216,1.0,0.9943833053719391,0.9914569215954817
CP4,0.6666666666666666,12,4.0,3.1,12.055555555555555,3.0,0.9996303116967855,0.9999999999575462,1.0,0.9953798107040172,0.9929071288965738
CP5,0.7916666666666666,12,4.0,2.8,10.888888888888888,3.0,0.9999588388280957,1.0,1.0,0.9995320028000246,0.9992073169858017
CP1,0.0416666666666666,12,6.0,6.0,23.33333333333333,3.0,0.0057900048478713995,6.641603799241227e-06,6.769844794249848e-13,0.06746381177441818,0.04993805450831958
CP3,0.2916666666666667,12,6.0,5.4,21.0,3.0,0.9995746678903222,0.9999999998740967,1.0,0.9944637763344877,0.991573496416559
CP5,0.4166666666666667,12,6.0,4.8,18.666666666666664,3.0,0.9999588388280957,1.0,1.0,0.9995234895197389,0.9991934715554032
CP1,0.0416666666666666,12,7.0,7.0,27.22222222222222,3.0,0.005603255086453651,5.663769182592768e-06,4.4915959648601326e-13,0.0657669232431323,0.04859963665557528
CP2,0.2083333333333333,12,7.0,6.7,26.05555555555556,3.0,0.9941170013933819,0.9997322952141695,0.9999999912603554,0.9276604359339765,0.9045770488888338
CP4,0.4583333333333333,12,7.0,6.1,23.72222222222222,3.0,0.9996272627210888,0.9999999999552255,1.0,0.9953388119762816,0.9928471641982027
CP1,0.0416666666666666,24,2.0,2.0,7.777777777777778,4.0,0.005935593437384701,7.592873897781509e-06,9.556053235190873e-13,0.06892590070714819,0.05109337919269168
CP2,0.7916666666666666,12,2.0,1.7,6.611111111111111,4.0,0.9658324160998113,0.9252219262940018,0.9904988850305282,0.7564565234464533,0.7069321656398838
