video,cp,p_change,gc_1,gc_2,gc_3,gc_4,gc_6,gj_1,gj_2,gj_3,gj_4,gj_6,p,n,ttc_start,ttc_true,distance,dv_kph,x_looming,gate_g1
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,13,3.0,2.7,10.5,14.0,-2.7202914812804466,0.9980916639635253
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8076923076923077,13,3.0,2.4,9.333333333333332,14.0,-2.4868395624018516,0.9999971926735736
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769232,13,3.0,2.1,8.166666666666666,14.0,-2.222852452749923,0.999998640030944
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8846153846153846,13,3.0,1.8,7.0,14.0,-1.9192714731796099,0.9999999980320942
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.285,0.34,0.4,0.0192307692307692,26,4.0,4.0,15.555555555555555,14.0,-3.50202987173271,0.06959850821849405
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,13,4.0,3.7,14.38888888888889,14.0,-3.3467218195246335,0.9980731718505069
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4615384615384615,13,4.0,3.4,13.22222222222222,14.0,-3.178391416598784,0.9999959135900139
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8076923076923077,13,4.0,3.1,12.055555555555555,14.0,-2.994666810733115,0.9999980359568056
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6538461538461539,13,4.0,2.8,10.888888888888888,14.0,-2.7924676631200214,0.9999999982373063
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.28,0.335,0.405,0.0,13,5.0,5.0,19.444444444444443,14.0,-3.9470035365243263,0.0678601653862488
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3076923076923077,13,5.0,4.4,17.11111111111111,14.0,-3.6920172466422034,0.9999971246462699
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4615384615384615,13,5.0,3.8,14.777777777777777,14.0,-3.3998370992963483,0.9999999979586583
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.285,0.34,0.42,0.1153846153846153,13,6.0,6.0,23.33333333333333,14.0,-4.3109324539736695,0.06879198247347547
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4230769230769231,13,6.0,5.7,22.166666666666668,14.0,-4.208521269093284,0.9980356984122977
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,13,6.0,5.1,19.83333333333333,14.0,-3.9865180565099796,0.9999985782918679
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.275,0.305,0.315,0.0,24,2.0,2.0,7.777777777777778,14.0,-2.126614252395814,0.06892590070714696
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,12,2.0,1.7,6.611111111111111,14.0,-1.8071020254965993,0.7633659258264393
LC_dv14_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,2.0,1.4,5.444444444444444,14.0,-1.4281679601945294,0.9930843699650579
LC_dv14_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,12,2.0,1.1,4.277777777777778,14.0,-0.9636630946851306,0.9938957654158629
LC_dv14_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,2.0,0.8,3.111111111111111,14.0,-0.36704016867923733,0.9982050834916191
LC_dv14_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.285,0.33,0.36,0.0833333333333333,24,3.0,3.0,11.666666666666666,14.0,-2.9294975251009734,0.07000449169775758
LC_dv14_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7083333333333334,12,3.0,2.7,10.5,14.0,-2.7202914812804466,0.9262592498030785
LC_dv14_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,12,3.0,2.4,9.333333333333332,14.0,-2.4868395624018516,0.9934643023675425
LC_dv14_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,12,3.0,2.1,8.166666666666666,14.0,-2.222852452749923,0.9939824095323917
LC_dv14_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,3.0,1.8,7.0,14.0,-1.9192714731796099,0.9994519960911403
LC_dv14_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.285,0.34,0.4,0.0,24,4.0,4.0,15.555555555555555,14.0,-3.50202987173271,0.06959850821849405
LC_dv14_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4583333333333333,12,4.0,3.7,14.38888888888889,14.0,-3.3467218195246335,0.9273818432199612
LC_dv14_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7083333333333334,12,4.0,3.4,13.22222222222222,14.0,-3.178391416598784,0.9943833053719391
LC_dv14_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,12,4.0,3.1,12.055555555555555,14.0,-2.994666810733115,0.9953798107040172
LC_dv14_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7916666666666666,12,4.0,2.8,10.888888888888888,14.0,-2.7924676631200214,0.9995320028000246
LC_dv14_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.28,0.335,0.41,0.0416666666666666,12,6.0,6.0,23.33333333333333,14.0,-4.3109324539736695,0.06746381177441818
