video,p,n,deficit_max,distance,ttc_true,dv_kph,cp,lcd,ttc_start,gap_trace,vrel_trace,p_lane_end,a_req
LC_dv07_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,0.041666666666666664,12,1033.5053644621973,11.666666666666666,6.0,7.0,CP1,3.0,6.0,14.119000000000014,1.8129999999999988,0.0,0.16203703703703706
LC_dv07_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,0.25,12,4781.886279721188,11.083333333333334,5.7,7.0,CP2,3.0,6.0,13.559999999999988,1.8119999999999976,1.0,0.17056530214424953
LC_dv07_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,0.375,12,5231.829536484047,9.916666666666666,5.1,7.0,CP4,3.0,6.0,12.435999999999964,1.8099999999999987,1.0,0.19063180827886714
LC_dv07_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,0.0,25,1005.6933146023938,3.888888888888889,2.0,7.0,CP1,4.0,2.0,5.431000000000025,1.8049999999999997,0.0,0.48611111111111116
LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,0.6538461538461539,13,3898.102143131507,3.305555555555556,1.7,7.0,CP2,4.0,2.0,4.874999999999985,1.809000000000001,0.4919935324412368,0.5718954248366014
LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,1.0,12,3898.102143131507,2.722222222222222,1.4,7.0,CP3,4.0,2.0,4.314000000000006,1.8079999999999998,0.5970394854821615,0.6944444444444445
LC_dv07_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,0.8461538461538461,13,4001.6872190839063,2.138888888888889,1.1,7.0,CP4,4.0,2.0,3.752999999999971,1.818999999999999,0.4116798788182743,0.8838383838383839
LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,1.0,12,5138.722974935116,1.5555555555555556,0.8,7.0,CP5,4.0,2.0,3.1970000000000445,1.8079999999999998,0.6168908359985409,1.215277777777778
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,0.0,25,991.9828671669591,5.833333333333333,3.0,7.0,CP1,4.0,3.0,7.402000000000029,1.8019999999999996,0.0,0.3240740740740741
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,0.6538461538461539,13,6693.829896012044,5.25,2.7,7.0,CP2,4.0,3.0,6.850999999999984,1.809000000000001,0.9957952573985903,0.360082304526749
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,0.9583333333333334,12,6770.445534291055,4.666666666666666,2.4,7.0,CP3,4.0,3.0,6.295999999999977,1.8049999999999997,0.9990833601532741,0.40509259259259267
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,0.8461538461538461,13,6941.615036954505,4.083333333333333,2.1,7.0,CP4,4.0,3.0,5.74299999999998,1.6630000000000003,1.0,0.46296296296296297
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,0.9583333333333334,12,6986.515250500612,3.5,1.8,7.0,CP5,4.0,3.0,5.182999999999978,1.8079999999999998,0.9995560541925395,0.5401234567901235
