video,cp,dg_menu,best,dg_steer,best_steer,dg_planner,eps_continue,a_first,omega_max,steers,brakes
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,172804.2813300682,brake,188739.99017010085,steer,385877.1184173483,460129.53171947814,-0.1,0.20671366766903068,True,False
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,167358.70093529916,brake,185310.00440171667,steer,387235.4770160855,450020.6686292214,0.8593258139165416,0.29289902872390483,True,False
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,162514.4763754181,brake,182744.4721480326,steer,383756.3053266105,457717.44396734104,0.375528443476116,0.11285772808054402,True,False
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,13303.942972401986,ease_off,18706.19307796804,steer,389155.5895147176,452857.0191453027,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,185839.56139101827,brake,192539.12630437236,steer,390760.09717138566,454732.9817698981,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,185491.95699014474,brake,194594.49604274656,steer,392829.5376031215,457497.5125912723,0.3050298010298855,0.19773047463776938,True,False
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,182446.0161953118,brake,192743.65475225972,steer,387249.2245322529,450021.4015089286,0.8593258139165416,0.2928990287239048,True,False
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,179123.45000296005,brake,191446.34526485048,steer,387277.95747880975,450022.6376743051,0.8593258139165416,0.29289902872390483,True,False
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,19194.60410577149,ease_off,19194.60410577149,ease_off,383256.46155799285,450122.3854581595,-0.002237473359679887,0.3366954039585163,True,False
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,181850.4049498647,brake,188937.76012363803,steer,389693.9844760828,452505.4109807265,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,187449.93541690666,brake,194771.69524409316,steer,387331.9987617519,450142.7788146563,0.8593258139165416,0.29289902872390483,True,False
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,25167.80233196173,ease_off,25167.80233196173,ease_off,385047.16725471226,450283.947938174,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,167888.22273134277,brake,167888.22273134277,brake,384815.82306482794,450640.6398968467,0.7815018558473353,0.33128941294986697,True,False
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,177413.89661808658,brake,183529.28282163732,steer,387128.9238114339,450423.999437558,0.8593258139165413,0.29289902872390483,True,False
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,8656.243975530979,ease_off,15563.29454001071,steer,383632.20691186725,478740.77797961904,-0.1,0.16200842012326788,True,False
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,155234.0136135541,brake,175611.75916940137,steer,387243.4011546214,450021.4680963469,0.8593258139165416,0.29289902872390483,True,False
LC_dv14_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,149226.87085843668,brake,172321.23243653512,steer,388597.19895393413,450473.3455608772,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,142450.9821602003,brake,168858.01950327208,steer,381630.73227809643,450020.6687483003,0.20848360577803413,0.2101161223850612,True,False
LC_dv14_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,135268.88120248733,brake,164847.7598243656,steer,387885.9544243547,451556.5401263934,0.8593258139165413,0.29289902872390483,True,False
LC_dv14_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,9179.45881268302,brake,17143.03568536562,steer,385330.2527559552,450020.6687483003,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,177254.58999867027,brake,189735.2012544772,steer,385284.14351390034,450342.6693675398,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,172829.11007971567,brake,188389.2237648927,steer,383731.512832601,454010.71505246824,0.4233250114132695,0.1607078670657529,True,False
LC_dv14_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,167286.98238433583,brake,183392.53583002175,steer,389564.3129849774,450018.23929779854,0.29603555265597986,0.20681026109126127,True,False
LC_dv14_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,162524.92287517822,brake,183292.90939751873,steer,403317.81088777306,459901.1153174586,-0.09806360428906602,0.15530334134412513,True,False
LC_dv14_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,13309.872116924562,ease_off,18705.512086296272,steer,389031.5181090006,452749.61181328865,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,185677.90972257545,brake,191594.9260486994,steer,390501.45038946974,451263.0549865308,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,185161.2304813072,brake,193903.65097822942,steer,385068.4761529623,450368.3479429606,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,182266.88857642817,brake,192364.9905890286,steer,387235.47701608646,450020.6686292214,0.8593258139165416,0.29289902872390483,True,False
LC_dv14_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,179044.02929032044,brake,191455.44319963807,steer,381622.44212265627,450020.6687483003,0.20848360577803413,0.2101161223850612,True,False
LC_dv14_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,24665.62613358091,ease_off,24665.62613358091,ease_off,385197.97637124406,450290.11627930345,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc3p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,173738.46399832412,brake,173776.80612254655,steer,389377.2035694014,452096.463923191,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc3p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,181383.06350062156,brake,188132.722777553,steer,402978.1638934591,452115.7356982638,0.5225246516743093,0.14258495234233548,True,False
LC_dv14_Tlc3p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,23085.440981831944,ease_off,23085.440981831944,ease_off,385103.2116550154,450406.3697415782,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,151654.83091128222,ease_off,151654.83091128222,ease_off,390122.2418048854,450796.1249886436,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,159983.66563336807,ease_off,159983.66563336807,ease_off,427902.9710824501,553420.5068887476,0.7018086031553041,0.2465474120652048,True,False
LC_dv14_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,7913.139346820964,ease_off,14801.099695039637,steer,385330.2527559536,450020.6687483003,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,152983.7883279969,brake,172440.42485348956,steer,385115.6608822873,450410.73193303705,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,139231.920730192,brake,163839.19715551063,steer,384725.6253226251,450478.588264524,0.213756595072546,0.14189182598976263,True,False
LC_dv14_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,129411.23677607386,brake,156239.7433636005,steer,381629.69600866636,450020.6687483003,0.20848360577803413,0.2101161223850612,True,False
LC_dv14_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,117142.39000400068,brake,147919.2805787004,steer,380374.99884489196,459936.3324481291,0.111718239603634,0.20594367091366433,True,False
LC_dv14_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,8960.00142820392,brake,16930.330303286115,steer,385330.2527559552,450020.6687483003,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,177168.91753598713,brake,189485.54512230423,steer,384971.1227259601,450343.4833007331,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,172720.0221645015,brake,188104.44989505335,steer,383827.62376231025,451170.06679057144,0.29450963186224655,0.18563793452886043,True,False
LC_dv14_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,167041.70641455302,brake,184463.70225040073,steer,381622.2359203898,450021.4680963469,0.20848360577803413,0.2101161223850612,True,False
LC_dv14_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,162298.3952416339,brake,182889.95582248166,steer,383271.72870565025,450588.4534585699,0.2453844301623794,0.22802406611524628,True,False
LC_dv14_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,13006.987809795613,ease_off,18345.447684252886,steer,389030.52214606537,452780.9022903387,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,185452.9583871112,brake,190981.1461367524,steer,391406.79177030746,451380.86064078356,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,184925.78985213858,brake,193374.85792871547,steer,384991.03474836354,450100.8181313738,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,182106.47398097246,brake,192094.6490736287,steer,387235.4770160855,450020.6686292214,0.8593258139165416,0.29289902872390483,True,False
LC_dv14_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,178943.49350726488,brake,191310.40096688538,steer,381622.442122656,450020.6687483003,0.20848360577803413,0.2101161223850612,True,False
LC_dv14_Tlc4p0_TTC05_CP1_S5p033_E15p033.mp4,CP1,19819.5380543453,ease_off,19819.5380543453,ease_off,391459.5013386031,451372.8667505644,0.2837006189781007,0.13883251540695443,True,False
LC_dv14_Tlc4p0_TTC05_CP2_S5p333_E15p333.mp4,CP2,179907.93936468536,brake,179907.93936468536,brake,387193.23950206814,450030.81581430737,0.8593258139165416,0.29289902872390483,True,False
LC_dv14_Tlc4p0_TTC05_CP4_S5p933_E15p933.mp4,CP4,184458.59683464232,brake,191218.90009190683,steer,382314.13532960374,454998.70885995886,0.6247027507245075,0.14543216756511218,True,False
LC_dv14_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,23115.713821621233,ease_off,23115.713821621233,ease_off,385247.4438875523,450548.98141519,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc4p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,157597.4880013125,ease_off,157597.4880013125,ease_off,389146.4036578441,456842.1607955256,0.213756595072546,0.14189182598976263,True,False
LC_dv14_Tlc4p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,165834.47977644874,brake,168718.82515224017,steer,381555.6522793102,450194.30941535626,0.20848360577803401,0.2101161223850612,True,False
