video,cp,p_change,share_in_path,eps_in_path,eps_none,eps_continuous,price,a_star,p,n,ttc_start,ttc_true,distance,dv_kph
LC_dv14_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,699.4794559406998,744.1155738185446,550.1449274535842,0.0,4.5,0.9583333333333334,12,2.0,1.4,5.444444444444444,14.0
LC_dv14_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,665.6736958064442,712.2892858634806,483.32566665701654,0.0,6.5,0.9583333333333334,12,2.0,1.1,4.277777777777778,14.0
LC_dv14_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,646.3177125722855,698.007183497843,359.1570588279238,0.014653118401019731,8.0,0.9583333333333334,12,2.0,0.8,3.111111111111111,14.0
LC_dv14_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,57.00072547645365,3699317.230107082,57.477297117136196,0.0,2.0,0.0,24,3.0,3.0,11.666666666666666,14.0
LC_dv14_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,760.8203717310556,766.8590721043603,765.6403845595142,0.0,3.25,0.5,12,3.0,2.7,10.5,14.0
LC_dv14_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,789.2328405966243,796.2742934110588,794.2325058164548,0.0,3.75,0.7916666666666666,12,3.0,2.4,9.333333333333332,14.0
LC_dv14_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,748.3198970724203,754.9393739168785,753.8540047774203,0.0,4.75,0.875,12,3.0,2.1,8.166666666666666,14.0
LC_dv14_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,772.2449310550315,778.6004988978528,777.3456060498722,0.0005818800740013274,8.0,0.9166666666666666,12,3.0,1.8,7.0,14.0
LC_dv14_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,51.151293984121025,193151.23970644164,51.26444483505053,0.0,1.5,0.0416666666666666,24,4.0,4.0,15.555555555555555,14.0
LC_dv14_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,776.7531386651619,777.8613311096842,777.8613311096842,0.0,2.5,0.5416666666666666,12,4.0,3.7,14.38888888888889,14.0
LC_dv14_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,702.6155116478773,703.938985364324,703.938985364324,0.0,3.0,0.6666666666666666,12,4.0,3.4,13.22222222222222,14.0
LC_dv14_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,736.6738047956111,737.9237920718432,737.9237920718432,0.0,3.25,0.6666666666666666,12,4.0,3.1,12.055555555555555,14.0
LC_dv14_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,785.8206602141119,787.0542373706708,787.0542373706708,0.0,6.75,0.6666666666666666,12,4.0,2.8,10.888888888888888,14.0
