video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,x_rel,v_ego,v_oth,l0,ldot,gate_g1,demand_P1,demand_P2,demand_released
LC_dv28_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,0.6538461538461539,13,3.0,1.8,14.0,28.0,19.48624020205522,32.626,24.986,-0.18600000000000017,-1.8400000000000016,0.9999999983319441,16.603452772634267,5.818062697245354,15.628363787156752
LC_dv28_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.0769230769230769,26,4.0,4.0,31.11111111111111,28.0,36.52751124396314,32.477,24.991,1.6449999999999994,-0.003333333333334447,0.06667647449733112,10.704623953099635,1.2615124514598506,10.287015768551496
LC_dv28_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.3846153846153846,13,4.0,3.7,28.77777777777778,28.0,34.20722679690278,32.626,24.977,1.2490000000000003,-1.3199999999999967,0.998066971730018,11.387289994505544,1.482829693776261,10.92001148957619
LC_dv28_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.2692307692307692,13,4.0,3.4,26.444444444444443,28.0,31.88394991226385,32.626,24.98,0.7850000000000008,-1.7099999999999969,0.9999971791925669,11.97956556024279,1.67915568158931,11.463516198508827
LC_dv28_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.4615384615384615,13,4.0,3.1,24.11111111111111,28.0,29.560555398691623,32.626,24.983,0.30700000000000016,-1.5933333333333355,0.9999984843450851,12.636867146192982,1.9358818395810384,12.063988465438888
LC_dv28_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.3846153846153846,13,4.0,2.8,21.77777777777777,28.0,27.243237319224427,32.626,24.986,-0.18799999999999994,-1.8299999999999983,0.999999998020036,13.368445369728688,2.284839721569664,12.72899429010907
LC_dv28_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.0,13,5.0,5.0,38.888888888888886,28.0,44.31151180834062,32.626,24.991,1.6500000000000001,-0.0066666666666659324,0.06733209223175714,9.353520088823721,0.976550046691049,9.035920584281758
LC_dv28_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,0.2692307692307692,13,5.0,4.4,34.22222222222222,28.0,39.66695221979433,32.626,24.98,0.791000000000001,-1.7099999999999969,0.9999970969959394,10.193792213679389,1.1603633616132765,9.817713745093375
LC_dv28_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,0.1538461538461538,13,5.0,3.8,29.55555555555556,28.0,35.02023821660369,32.626,24.986,-0.18300000000000005,-1.8300000000000014,0.9999999979586583,11.183783882168504,1.420168452179787,10.73272713676386
LC_dv28_Tlc2p0_TTC06_CP1_S5p033_E15p033.mp4,CP1,0.0769230769230769,13,6.0,6.0,46.66666666666666,28.0,52.64758393181381,32.626,24.991,1.6559999999999995,-0.006666666666671854,0.0665459457798555,8.158322405195285,0.763348351490559,7.915650336040542
LC_dv28_Tlc2p0_TTC06_CP2_S5p333_E15p333.mp4,CP2,0.2307692307692307,13,6.0,5.7,44.333333333333336,28.0,50.3363031070942,32.626,24.977,1.3599999999999992,-0.9866666666666676,0.9613579655372053,8.465820952765796,0.8158338180824394,8.20480347432495
LC_dv28_Tlc2p0_TTC06_CP4_S5p933_E15p933.mp4,CP4,0.3846153846153846,13,6.0,5.1,39.66666666666666,28.0,45.70464119779713,32.626,24.983,0.43200000000000016,-1.5866666666666638,0.9999969403117667,9.13520928446615,0.9351965948577843,8.832022008154828
LC_dv28_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,0.0416666666666666,24,2.0,2.0,15.555555555555555,28.0,21.46057663080491,32.626,24.991,1.6329999999999998,-0.0066666666666659324,0.06959850821849417,15.630585154601379,4.166434596921338,14.763433727279798
LC_dv28_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,0.5416666666666666,12,2.0,1.7,13.22222222222222,28.0,19.149362010009504,32.626,24.984,1.4329999999999996,-0.6666666666666673,0.7652314182648793,16.784203677761408,6.242852688654862,15.788405470830376
LC_dv28_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,0.7916666666666666,12,2.0,1.4,10.888888888888888,28.0,16.840205391764908,32.477,24.985,1.1259999999999992,-1.1366666666666674,0.9930060847520041,17.84451305694183,11.144854225067906,16.71346909715794
LC_dv28_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,0.9166666666666666,12,2.0,1.1,8.555555555555555,28.0,14.526919083794837,32.626,24.986,0.8109999999999997,-1.0499999999999985,0.9940167607914941,19.642353356937896,512.7419145605405,18.292174847442382
LC_dv28_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,1.0,12,2.0,0.8,6.222222222222222,28.0,12.21769276994132,32.626,24.987,0.49199999999999977,-1.0633333333333332,0.99798470429574,21.46870450417512,inf,19.866016597176095
LC_dv28_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.0,24,3.0,3.0,23.33333333333333,28.0,28.778507658544854,32.626,24.991,1.6389999999999991,-0.006666666666671854,0.06879198247347547,12.865583641891806,2.0363011775523856,12.272266888462978
LC_dv28_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.4166666666666667,12,3.0,2.7,21.0,28.0,26.476318947177983,32.626,24.984,1.3719999999999997,-0.8899999999999982,0.9280767884615826,13.633933019510732,2.4324646927899582,12.969462872501227
LC_dv28_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,0.6666666666666666,12,3.0,2.4,18.666666666666664,28.0,24.167160067855242,32.626,24.985,1.0670000000000008,-1.126666666666667,0.9935563521312816,14.489484970476305,3.0107218007651197,13.741293272409223
LC_dv28_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,0.8333333333333334,12,3.0,2.1,16.333333333333332,28.0,21.862875567626492,32.626,24.986,0.7499999999999998,-1.0566666666666702,0.9952697590284613,15.45741196942952,3.947692576864221,14.608847090534374
LC_dv28_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,0.8333333333333334,12,3.0,1.8,14.0,28.0,19.554689798720855,32.626,24.987,0.4250000000000005,-1.2033333333333327,0.9996209779324361,16.565926372023124,5.73710974415675,15.595111251966122
LC_dv28_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.0208333333333333,24,4.0,4.0,31.11111111111111,28.0,36.55951123579152,32.623,24.991,1.6449999999999994,-0.003333333333334447,0.06667647449733112,10.826136496403004,1.317963443450051,10.402846609732425
LC_dv28_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.2083333333333333,12,4.0,3.7,28.77777777777778,28.0,34.247318891946726,32.626,24.984,1.378,-0.8899999999999982,0.927242239074523,11.37044649708358,1.4765922187930614,10.904521038490035
LC_dv28_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.4166666666666667,12,4.0,3.4,26.444444444444443,28.0,31.938158705288963,32.626,24.985,1.0680000000000003,-1.1433333333333362,0.9943994821688934,11.959369232970413,1.671275849297726,11.445021063673106
LC_dv28_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.4583333333333333,12,4.0,3.1,24.11111111111111,28.0,29.629873346031893,32.623,24.986,0.7509999999999992,-1.0566666666666702,0.9952558394504715,12.609152541341931,1.923242635778634,12.038627044228251
LC_dv28_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.6666666666666666,12,4.0,2.8,21.77777777777777,28.0,27.315691338990423,32.626,24.987,0.4310000000000007,-1.1866666666666634,0.9995353684853555,13.342767296418446,2.2711809391298825,12.705711838440369
LC_dv28_Tlc3p0_TTC06_CP1_S5p033_E15p033.mp4,CP1,0.0,12,6.0,6.0,46.66666666666666,28.0,52.63558393504942,32.626,24.991,1.6559999999999995,-0.006666666666671854,0.0665459457798555,8.159823351244139,0.7635883315171572,7.917063310072428
LC_dv28_Tlc3p0_TTC06_CP3_S5p633_E15p633.mp4,CP3,0.0833333333333333,12,6.0,5.4,42.0,28.0,48.0212474317734,32.477,24.985,1.1929999999999994,-1.0933333333333344,0.9880454208558319,8.68324525209388,0.83280886485135,8.406422697600188
LC_dv28_Tlc3p0_TTC06_CP5_S6p233_E16p233.mp4,CP5,0.2083333333333333,12,6.0,4.8,37.33333333333333,28.0,43.39772537229348,32.626,24.987,0.5499999999999996,-1.0933333333333344,0.9981817282233968,9.509010571261967,1.008587835257493,9.180949093278441
LC_dv28_Tlc3p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.0416666666666666,12,7.0,7.0,54.44444444444444,28.0,59.9025174239184,32.626,24.991,1.6620000000000006,-0.003333333333334447,0.06448428486105212,7.34184893830717,0.6414657787763983,7.144732101520458
LC_dv28_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,0.0,12,7.0,6.7,52.11111111111112,28.0,57.58932508011487,32.626,24.984,1.3950000000000011,-0.8899999999999982,0.9248374121597888,7.586996988755634,0.6772238756867284,7.376685260043095
LC_dv28_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,0.2083333333333333,12,7.0,6.1,47.44444444444444,28.0,52.97187953432021,32.623,24.986,0.7680000000000005,-1.0566666666666644,0.9950135522485216,8.118682257985986,0.7573555573393593,7.878285042110437
