video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,theta_dot,l0,ldot,p_lead,expected_looming,pred_mixture,pred_expected
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,0.5,13,6.0,5.1,19.83333333333333,14.0,0.018564241353863614,0.30400000000000005,-1.5966666666666671,0.9999970690912174,0.01856418694376559,0.36336972710040677,0.36384646584524605
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,0.0,24,2.0,2.0,7.777777777777778,14.0,0.11924032883771761,1.628,-0.003333333333331486,0.051093379192690754,0.0060923913363666446,0.07901358483954207,0.13335546554409344
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,0.6666666666666666,12,2.0,1.7,6.611111111111111,14.0,0.16412909018753583,1.4289999999999992,-0.6633333333333358,0.7145296640985588,0.11727510368050204,0.6563831130026212,0.8275835405251669
LC_dv14_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,1.0,12,2.0,1.4,5.444444444444444,14.0,0.2397477475650992,1.1220000000000006,-1.1366666666666674,0.9895866407904483,0.2372511681500229,0.9354162079195786,0.9252062467014579
LC_dv14_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,0.875,12,2.0,1.1,4.277777777777778,14.0,0.38149287882437044,0.8079999999999996,-1.04666666666667,0.9907524843906369,0.3779650174725812,0.9661759429773917,0.9615551583294489
LC_dv14_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,1.0,12,2.0,0.8,3.111111111111111,14.0,0.692781816354912,0.48600000000000043,-1.0733333333333306,0.9971241973776559,0.6907895125907262,0.9895144116975263,0.9858755712222677
LC_dv14_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.0833333333333333,24,3.0,3.0,11.666666666666666,14.0,0.05342387555854604,1.6300000000000006,-0.0066666666666659324,0.051946899341114953,0.0027752046860520423,0.07013978369616822,0.05009825245793481
LC_dv14_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.7083333333333334,12,3.0,2.7,10.5,14.0,0.06585555596676537,1.3650000000000009,-0.8833333333333323,0.902852861471274,0.05945787714837575,0.6545138676697126,0.6621144672726482
LC_dv14_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,0.8333333333333334,12,3.0,2.4,9.333333333333332,14.0,0.0831724128548923,1.062,-1.1233333333333326,0.9901315728443864,0.08235163195727717,0.7696804973638026,0.7367886720097959
LC_dv14_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,0.875,12,3.0,2.1,8.166666666666666,14.0,0.10829974790229006,0.7529999999999999,-1.0300000000000007,0.9908774498397945,0.10731177801971381,0.8241288932210559,0.7905729576245999
LC_dv14_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,1.0,12,3.0,1.8,7.0,14.0,0.14671380814968765,0.43700000000000006,-1.1733333333333344,0.9990775947637479,0.1465784785648199,0.8817164301304461,0.8448175219636411
LC_dv14_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.0,24,4.0,4.0,15.555555555555555,14.0,0.03013614877757078,1.6330000000000007,-0.0066666666666659324,0.051625511135871986,0.0015557940843087753,0.06136379978947608,0.020856721453640193
LC_dv14_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.4583333333333333,12,4.0,3.7,14.38888888888889,14.0,0.03519955566804595,1.3669999999999998,-0.8866666666666697,0.904234025900601,0.03182863593162951,0.5010643407600243,0.5045925831558729
LC_dv14_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.7083333333333334,12,4.0,3.4,13.22222222222222,14.0,0.04165260294687452,1.059,-1.140000000000002,0.9914569215954817,0.0412967614941471,0.5955639932553215,0.5739759726141456
LC_dv14_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.6666666666666666,12,4.0,3.1,12.055555555555555,14.0,0.05005330153140143,0.7419999999999989,-1.0566666666666702,0.9929071288965738,0.049698279915338275,0.6476456272329444,0.6220792048300522
LC_dv14_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.7916666666666666,12,4.0,2.8,10.888888888888888,14.0,0.06126983390488646,0.4230000000000007,-1.183333333333329,0.9992073169858017,0.06122126634826731,0.7053662699030132,0.6740300442853893
LC_dv14_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.0416666666666666,12,6.0,6.0,23.33333333333333,14.0,0.013421029265767858,1.6389999999999991,-0.003333333333337407,0.04993805450831958,0.0006702200910316677,0.04949494239278084,0.004560919092128678
LC_dv14_Tlc3p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,0.2916666666666667,12,6.0,5.4,21.0,14.0,0.016562863464819035,1.0640000000000007,-1.1433333333333333,0.991573496416559,0.016423296436480692,0.33077795665572096,0.33333914657806685
LC_dv14_Tlc3p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,0.4166666666666667,12,6.0,4.8,18.666666666666664,14.0,0.02095122219940715,0.4279999999999997,-1.183333333333335,0.9991934715554032,0.020934324442754258,0.39633124523982194,0.39462603942453733
LC_dv14_Tlc3p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.0416666666666666,12,7.0,7.0,27.22222222222222,14.0,0.009864597617412874,1.6419999999999992,0.0,0.04859963665557528,0.0004794158599597193,0.04592486123425851,0.002293749292772778
LC_dv14_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,0.2083333333333333,12,7.0,6.7,26.05555555555556,14.0,0.010766595480574254,1.3750000000000007,-0.8899999999999952,0.9045770488888338,0.009739215166397714,0.2155883033202522,0.21194447906032512
LC_dv14_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,0.4583333333333333,12,7.0,6.1,23.72222222222222,14.0,0.012985287995004034,0.7549999999999988,-1.0600000000000076,0.9928471641982027,0.01289240636213672,0.2684819126478737,0.271376247433683
LC_dv14_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.0416666666666666,24,2.0,2.0,7.777777777777778,14.0,0.11924032883771761,1.628,-0.003333333333334447,0.05109337919269168,0.006092391336366755,0.07901358483954282,0.13335546554409622
LC_dv14_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,0.7916666666666666,12,2.0,1.7,6.611111111111111,14.0,0.16412909018753583,1.4309999999999998,-0.656666666666667,0.7069321656398838,0.11602813317077851,0.6497978166712746,0.8256539127712167
LC_dv14_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,0.9583333333333334,12,2.0,1.4,5.444444444444444,14.0,0.2397477475650992,1.2,-0.8566666666666656,0.9167960264921207,0.21979978232811895,0.8693353874374012,0.9173051601240194
