lead,t_react,standoff,post,cp1,rows,n_rows,rho_p,rho_gap,level,sigma,lapse,n_cap,train_full
holds,0.5,20.0,0.20251999341057322,0.5302052413083389,18,24,0.7535338371056901,-0.8224476043527862,22.91620772691261,2.723774716639448,1.8211271151750737e-07,192,0.17875592141969562
holds,0.5,30.0,0.25305518678291866,0.5407117148277495,14,24,0.591536246898087,-0.6457219621346483,64.07285012317979,1.7495498405069563,0.09475390350666019,240,0.2178408717163927
holds,0.5,40.0,0.28134551084180814,0.5439013442320912,11,24,0.44456663145479625,-0.48823075486590367,73.32623797914148,1.5247399448238301,0.05346278992010356,263,0.24299099338449934
holds,1.0,0.0,0.275263835993764,0.48673434977365104,0,24,0.2897159890282237,0.018956920969431693,7.396677172009622,0.7452583610567117,0.4850057257236215,12,0.2493173537928315
holds,1.0,2.0,0.2549874504786295,0.4601498150159648,1,24,0.48937449169381897,-0.2331481219754487,9.070962478592767,1.1076848297936799,0.43136190574281164,35,0.2284184073839081
holds,1.0,5.0,0.20205511670925996,0.4576890015309394,6,24,0.7380429587697829,-0.5929161329493351,12.09056136764493,2.103816243079451,0.27110602014008783,77,0.18427627214546163
holds,1.0,10.0,0.14998466645227024,0.5167377466459959,10,24,0.8587268967455911,-0.8112799841332952,14.800883334793916,2.470034755237071,0.08870044923011319,139,0.14013678209885802
holds,1.0,20.0,0.22507900355128693,0.5326564501730088,16,24,0.6856620817589942,-0.7480877949989507,37.2183038049411,2.392086779520419,0.03658594258712327,215,0.1953999520635784
holds,1.0,30.0,0.26889379413497677,0.5384536958871543,13,24,0.52285971772202,-0.5781573433868976,80.00993019190274,1.2083799386491207,0.11162470142362457,251,0.2301631827421754
holds,1.0,40.0,0.28921078758695046,0.5461094907555283,9,24,0.3932386878455003,-0.4188376219373904,93.49835200993226,0.45092013123882957,0.07598540566983435,270,0.25062321828752493
holds,1.5,0.0,0.2685577294500541,0.4745588957477393,2,24,0.38069691911362163,-0.08848942080247676,23.38114076356804,1.5024696863208171,0.4632149616130381,35,0.2411603694536749
holds,1.5,2.0,0.2498180835427307,0.444806950553809,0,24,0.5699975788426276,-0.3463978389758241,24.58677457482125,1.7667075762597142,0.3970809677825482,58,0.21673745183740714
holds,1.5,5.0,0.1835862485381608,0.5059293082183538,5,24,0.771488371143613,-0.6426572110407467,22.960385684426765,2.054653943070811,0.2678382353518154,112,0.17275456254347565
holds,1.5,10.0,0.1891602921130374,0.5040555746108951,11,24,0.8122566771161196,-0.7962166922745706,38.87722760818402,1.9227966713124047,0.18043194294199594,169,0.15966422446381798
holds,1.5,20.0,0.24586778822799316,0.5392525743967925,14,24,0.626287262725288,-0.6635253924293141,63.209636480932026,1.6817703298125153,0.10425487987633185,234,0.20909320390734132
holds,1.5,30.0,0.27832283947070974,0.5482945623189297,11,24,0.4655238692513249,-0.5032968823623906,98.4750989531564,0.10266301756970976,0.10827891723464848,261,0.23943667497718
holds,1.5,40.0,0.29853714280551086,0.5401457241647585,7,24,0.3314456198512043,-0.3589306440268727,91.54724023835104,0.6935368734971991,0.0730307150393465,275,0.25935131326824545
