video,cp,ttc_start,ttc_true,distance,dv_kph,lcd,p,n,deficit_max,deficit_horizon,p_lane_end,p_lane_end_h,p_lane_max_h
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,5.0,5.0,19.444444444444443,14.0,2.0,0.0,13,1019.3296682389503,1019.3296682389503,0.0,0.0,0.0
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,5.0,4.4,17.11111111111111,14.0,2.0,0.3076923076923077,13,5766.065893975077,5766.065893975077,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,5.0,3.8,14.777777777777777,14.0,2.0,0.46153846153846156,13,6609.160578792491,6609.160578792491,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,6.0,6.0,23.33333333333333,14.0,2.0,0.11538461538461539,13,1006.5287119933455,1006.5287119933455,0.0,0.0,0.0
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,6.0,5.7,22.166666666666668,14.0,2.0,0.4230769230769231,13,4179.339186463065,3612.6315210199186,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,6.0,5.1,19.83333333333333,14.0,2.0,0.5,13,5009.519086802074,5009.519086802074,1.0,1.0,1.0
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,2.0,2.0,7.777777777777778,14.0,3.0,0.0,24,1048.3514227886358,1048.3514227886358,0.0,0.0,0.0
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,2.0,1.7,6.611111111111111,14.0,3.0,0.6666666666666666,12,5218.95249785645,8011.676071975362,0.6176765849573024,0.9933780652880672,0.9938464353237318
LC_dv14_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,2.0,1.4,5.444444444444444,14.0,3.0,1.0,12,5715.212036451185,8011.676071975362,0.737397654904896,1.0,1.0
LC_dv14_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,2.0,1.1,4.277777777777778,14.0,3.0,0.875,12,6519.555081237909,8485.133257054158,0.7890903651346639,1.0,1.0
LC_dv14_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,2.0,0.8,3.111111111111111,14.0,3.0,1.0,12,7119.262680113343,8808.812664063546,0.7834544353513422,1.0,1.0
LC_dv14_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,3.0,3.0,11.666666666666666,14.0,3.0,0.08333333333333333,24,1019.3296682386936,1019.3296682386936,0.0,0.0,0.0
LC_dv14_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,3.0,2.7,10.5,14.0,3.0,0.7083333333333334,12,7370.813969934147,7177.946057880373,1.0,0.9977191854851069,0.9977191854851069
LC_dv14_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,3.0,2.4,9.333333333333332,14.0,3.0,0.8333333333333334,12,7370.813969934147,7177.946057880373,0.999511745918583,1.0,1.0
LC_dv14_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,3.0,2.1,8.166666666666666,14.0,3.0,0.875,12,7370.813969934147,7177.946057880373,1.0,1.0,1.0
LC_dv14_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,3.0,1.8,7.0,14.0,3.0,1.0,12,8043.9386624285235,8043.9386624285235,1.0,1.0,1.0
LC_dv14_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,4.0,4.0,15.555555555555555,14.0,3.0,0.0,24,1048.35142278874,1048.35142278874,0.0,0.0,0.0
LC_dv14_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,4.0,3.7,14.38888888888889,14.0,3.0,0.4583333333333333,12,5729.942957342865,5716.542269292787,1.0,0.9976612877039369,0.9976612877039369
LC_dv14_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,4.0,3.4,13.22222222222222,14.0,3.0,0.7083333333333334,12,5980.053934701029,5980.053934701029,1.0,1.0,1.0
LC_dv14_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,4.0,3.1,12.055555555555555,14.0,3.0,0.6666666666666666,12,6219.946903481271,6219.946903481271,1.0,1.0,1.0
