p_change,x_rel,y_rel,vy_oth,v_ego,v_oth,dg_A,G_A_continue,G_A_ease_off,G_A_brake,G_A_brake_hard,dg_B,G_B_continue,G_B_ease_off,G_B_brake,G_B_brake_hard,video,trace,e_t,cp,p,n,ttc_start,ttc_true,distance,dv_kph,lcd
0.07000000000000002,13.91617671066981,3.502362453746161,0.004485825744512014,26.796,24.991,15335.084111087202,29017.86897772258,13682.784866635378,20307.599999999995,62018.009856000084,5249.485537708697,7794.021945900437,2544.53640819174,20307.599999999995,62018.009856000084,LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,LC_dv07_Tlc2p0_TTC04,15.067,CP1,0.0,21,4.0,4.0,7.777777777777778,7.0,2.0
1.0,13.345322554693288,3.1130602164421863,-1.29191522197877,26.796,24.977,152185.5523231902,172493.1523231902,51694.08042124194,20307.599999999995,62018.009856000084,34749.10571913201,38330.16226961427,3581.0565504822694,20307.599999999995,62018.009856000084,LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,LC_dv07_Tlc2p0_TTC04,15.367,CP2,0.8636363636363636,11,4.0,3.7,7.194444444444445,7.0,2.0
1.0,12.776786058055919,2.658430368971288,-1.5137004858804244,26.651,24.98,150597.24497668073,170904.84497668073,52181.7813432179,20307.599999999995,61894.01281600004,35380.33954402346,38963.43440370031,3583.094859676851,20307.599999999995,61894.01281600004,LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,LC_dv07_Tlc2p0_TTC04,15.667,CP3,0.7,10,4.0,3.4,6.611111111111111,7.0,2.0
1.0,12.202625664998973,2.1779111276424783,-1.598574354781786,26.796,24.983,151726.16871507664,172086.48383158023,59979.49276385563,20360.315116503603,62018.009856000084,41435.8252665381,45525.76973069174,4089.9444641536406,20307.599999999995,62018.009856000084,LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,LC_dv07_Tlc2p0_TTC04,15.967,CP4,0.8181818181818182,11,4.0,3.1,6.027777777777778,7.0,2.0
1.0,11.634319746681347,1.6818959634828858,-1.6452253106733914,26.796,24.986,150970.5725350426,171912.26111348995,65875.63143167774,20941.68857844734,62018.009856000084,46244.355774929536,50997.5428290914,4753.1870541618655,20307.608538350498,62018.009856000084,LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,LC_dv07_Tlc2p0_TTC04,16.267,CP5,0.85,10,4.0,2.8,5.444444444444444,7.0,2.0
0.07000000000000002,15.922176944937519,3.5021172644699976,0.0011524930533690608,26.796,24.991,19626.221044294653,30607.795928439897,10981.574884145246,20307.599999999995,62018.009856000084,3684.621576637198,6181.201871546389,2496.5802949091913,20307.599999999995,62018.009856000084,LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,LC_dv07_Tlc2p0_TTC05,15.067,CP1,0.0,11,5.0,5.0,9.72222222222222,7.0,2.0
1.0,15.350322743340437,3.1125667342699663,-1.2919127390495995,26.796,24.959,149561.4847642389,169869.0847642389,38917.190061158515,20307.599999999995,62018.009856000084,24944.745221902846,27954.727481085898,3009.982259183051,20307.599999999995,62018.009856000084,LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,LC_dv07_Tlc2p0_TTC05,15.367,CP2,0.8181818181818182,11,5.0,4.7,9.13888888888889,7.0,2.0
1.0,14.208623134058387,2.17241032825307,-1.595255043433191,26.796,24.983,151695.129847488,172002.729847488,46737.81098126953,20307.599999999995,62018.009856000084,30651.68957971806,33912.98229041825,3261.2927107001915,20307.599999999995,62018.009856000084,LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,LC_dv07_Tlc2p0_TTC05,15.967,CP4,0.8636363636363636,11,5.0,4.1,7.972222222222221,7.0,2.0
0.07000000000000002,19.787178062525538,3.5027181333796875,0.0044858257445194154,26.796,24.991,24798.817949004526,29009.34643417332,4210.528485168793,20307.599999999995,62018.009856000084,854.5950646062283,3185.611558004982,2331.0164933987535,20307.599999999995,62018.009856000084,LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,LC_dv07_Tlc2p0_TTC07,15.067,CP1,0.0,10,7.0,7.0,13.61111111111111,7.0,2.0
1.0,18.65778339351546,2.652485596692098,-1.507712463275418,26.796,24.98,138590.0640474849,158820.15960677544,20230.09555929056,20307.599999999995,62018.009856000084,13777.090403055054,16461.246604080967,2684.156201025913,20307.599999999995,62018.009856000084,LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,LC_dv07_Tlc2p0_TTC07,15.667,CP3,0.4,10,7.0,6.4,12.444444444444445,7.0,2.0
1.0,17.519325770292802,1.6872905957047213,-1.6512109897983949,26.796,24.986,143894.5443843423,164202.1443843423,27382.281632898103,20307.599999999995,62018.009856000084,17477.161280030876,20302.52286355563,2825.3615835247533,20307.599999999995,62018.009856000084,LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,LC_dv07_Tlc2p0_TTC07,16.267,CP5,0.35,10,7.0,5.8,11.277777777777777,7.0,2.0
0.07000000000000002,10.07217964434306,3.5017368850445094,0.004456881393541194,26.648,24.991,9944.081619206452,23702.57205774337,13758.49043853692,20535.956265981502,61891.45446400002,7951.8862900528,10782.261864708371,2830.375574655571,20307.604026350895,61891.45446400002,LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,LC_dv07_Tlc3p0_TTC02,15.067,CP1,0.0625,24,2.0,2.0,3.888888888888889,7.0,3.0
1.0,9.509443544363727,3.2769175266642177,-0.7452685704029287,26.796,24.971,140008.9215440288,163004.77448891697,72533.87658920363,22995.852944888185,62018.009856000084,58385.08033610329,65182.39899290184,6797.318656798557,20309.66388006731,62018.009856000084,LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,LC_dv07_Tlc3p0_TTC02,15.367,CP2,0.75,12,2.0,1.7,3.305555555555556,7.0,3.0
1.0,8.948994856563802,2.9709979901027657,-1.0017426276752839,26.796,24.985,135966.3265120116,160268.85648109738,79571.77750484094,24302.529969085765,62018.01076890777,64573.914502700645,73137.93596784973,8564.021465149082,20315.26674376772,62018.01076890777,LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,LC_dv07_Tlc3p0_TTC02,15.667,CP3,0.9166666666666666,12,2.0,1.4,2.722222222222222,7.0,3.0
