video,cp,n_windows,vy_last,p_now,gp_1,gc_1,gp_2,gc_2,gp_3,gc_3,gp_4,gc_4,gp_6,gc_6,p,n,ttc_start,ttc_true,distance,dv_kph,lcd,x_looming,gate_g1
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,54,-0.7889686066352206,0.876645182111913,0.8795933613134909,1.0,0.8824710790547593,1.0,0.8852800193640791,1.0,0.8880218260215466,1.0,0.8933104180085936,1.0,0.9583333333333334,12,3.0,1.8,3.5,7.0,4.0,-1.278005697428891,0.9812279667544027
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,50,0.0012367870960645554,6.675326464927419e-05,0.02396515019362837,0.085,0.04729237561926993,0.085,0.07006208053612367,0.085,0.09228758968007415,0.085,0.13515773489859484,0.085,0.02,25,4.0,4.0,7.777777777777778,7.0,4.0,-2.819761432955759,0.06759573037040441
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,51,-0.4986234639833175,0.004065915464524988,0.02786873244759466,0.085,0.05110266228730108,0.085,0.07378130138200809,0.085,0.0959179211762628,0.085,0.1386166102852673,0.085,0.5769230769230769,13,4.0,3.7,7.194444444444445,7.0,4.0,-2.6662696454454218,0.5685670972735157
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,52,-0.7553042067580049,0.053527299183258624,0.07614798947474556,0.115,0.09822804544173291,0.115,0.11978038824043036,0.115,0.14081763021151314,0.115,0.18139576106360009,0.115,0.7083333333333334,12,4.0,3.4,6.611111111111111,7.0,4.0,-2.5002492060565444,0.9238297539142435
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,53,-0.7686367714694239,0.30663384733914045,0.3232052930706513,0.305,0.3393806813762574,0.305,0.3551694780254005,0.305,0.37058092255570557,0.305,0.40030761456362235,0.305,0.7307692307692307,13,4.0,3.1,6.027777777777778,7.0,4.0,-2.3195237816851915,0.926822193570497
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,54,-0.7955153745003458,0.7937780602390768,0.7987067630179484,1.0,0.8035176698382006,1.0,0.8082135960223414,1.0,0.812797289606692,1.0,0.8216386443007775,1.0,0.8333333333333334,12,4.0,2.8,5.444444444444444,7.0,4.0,-2.121315140754475,0.962030203687582
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,50,0.0011524930533690608,6.678359219973497e-05,0.023965179796350607,0.085,0.04729240451448733,0.085,0.0700621087407456,0.085,0.09228761721060583,0.085,0.13515776112889324,0.085,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0,4.0,-3.622644705660919,0.06720057157626495
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,52,-0.7622411175654394,0.09546692673138525,0.11708526024608631,0.155,0.1381869157555664,0.155,0.15878424186018814,0.155,0.17888929202886006,0.155,0.2176693449299748,0.155,0.4583333333333333,12,6.0,5.4,10.5,7.0,4.0,-3.413438661840392,0.9350050115796908
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,54,-0.7889709496287843,0.881563752171832,0.8843943775866959,1.0,0.8871573510758514,1.0,0.8898542895198037,1.0,0.8924867711556272,1.0,0.8975644892534175,1.0,0.7083333333333334,12,6.0,4.8,9.333333333333332,7.0,4.0,-3.179986742961797,0.9812279667544027
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,50,0.0044878948523348694,6.513572438107654e-05,0.02396357131256018,0.085,0.04729083447344716,0.085,0.07006057622367425,0.085,0.09228612132068073,0.085,0.13515633588801687,0.085,0.0384615384615384,13,7.0,7.0,13.61111111111111,7.0,4.0,-3.9292297803881033,0.0656377762174264
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,51,-0.5886093959865858,0.009167412812939936,0.03284830404850336,0.085,0.05596322216513394,0.085,0.07852569391603398,0.085,0.10054892276510789,0.085,0.1430288953419114,0.085,0.3076923076923077,13,7.0,6.7,13.02777777777778,7.0,4.0,-3.8420599656626147,0.6799921212760437
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,53,-0.7919517468956297,0.4373480947056622,0.45079547092749644,0.415,0.4639214549607501,0.415,0.4767337280762658,0.415,0.48923978796257156,0.415,0.5133623671109271,0.415,0.5769230769230769,13,7.0,6.1,11.86111111111111,7.0,4.0,-3.655493105635152,0.9404527838944867
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,50,0.0026415087968774797,6.605105905460499e-05,0.02396446477074203,0.085,0.047291706577985315,0.085,0.07006142748492063,0.085,0.09228695223678986,0.085,0.135157127560976,0.085,0.0769230769230769,26,2.0,2.0,7.777777777777778,14.0,2.0,-2.126614252395814,0.06759573037040566
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,51,-1.2873354935568981,0.9226321632268478,0.9244812539324303,0.885,0.9262861513843291,0.885,0.9280479118009685,0.885,0.9297675661571602,0.885,0.9330845579749006,0.885,0.9230769230769232,13,2.0,1.7,6.611111111111111,14.0,2.0,-1.8071020254965993,0.997492437067318
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,52,-1.5301259224206023,0.9999810986164807,0.9999815503594018,1.0,0.9999819913056707,1.0,0.999982421713327,1.0,0.9999828418342437,1.0,0.9999836521933941,1.0,1.0,13,2.0,1.4,5.444444444444444,14.0,2.0,-1.4281679601945294,0.9999971246462699
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,53,-1.5968768392496093,0.9999999997071746,0.9999999997141731,1.0,0.9999999997210044,1.0,0.9999999997276724,1.0,0.999999999734181,1.0,0.9999999997467353,1.0,0.9230769230769232,13,2.0,1.1,4.277777777777778,14.0,2.0,-0.9636630946851306,0.9999986797519633
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,54,-1.6259415544107636,0.9999999999999962,0.9999999999999963,1.0,0.9999999999999964,1.0,0.9999999999999964,1.0,0.9999999999999966,1.0,0.9999999999999968,1.0,1.0,13,2.0,0.8,3.111111111111111,14.0,2.0,-0.36704016867923733,0.9999999973645194
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,50,-0.0007162724276410497,6.77349068669535e-05,0.023966108374604573,0.085,0.04729331089972815,0.085,0.07006299346338611,0.085,0.09228848078838202,0.085,0.1351585839209489,0.085,0.0576923076923076,26,3.0,3.0,11.666666666666666,14.0,2.0,-2.9294975251009734,0.0686582649460838
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,51,-1.3140001460038981,0.9416151070978489,0.9430105055904853,0.92,0.9443725540698483,0.92,0.9457020496009995,0.92,0.9469997701991514,0.92,0.9495029061289295,0.92,0.9615384615384616,13,3.0,2.7,10.5,14.0,2.0,-2.7202914812804466,0.9980916639635253
