video,l0,ldot,trace,cp,e_t,lat_center,half_widths
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,1.4559999999999993,-0.5900000000000046,LC_dv07_Tlc4p0_TTC07,CP2,15.367,3.337999999999999,1.882
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,0.9859999999999995,-0.7933333333333378,LC_dv07_Tlc4p0_TTC07,CP4,15.967,2.8679999999999994,1.882
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,1.628,0.0,LC_dv14_Tlc2p0_TTC02,CP1,15.067,3.51,1.882
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,1.2410000000000003,-1.2899999999999987,LC_dv14_Tlc2p0_TTC02,CP2,15.367,3.123,1.882
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,0.7790000000000006,-1.7066666666666623,LC_dv14_Tlc2p0_TTC02,CP3,15.667,2.6610000000000005,1.882
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,0.29899999999999927,-1.6000000000000045,LC_dv14_Tlc2p0_TTC02,CP4,15.967,2.180999999999999,1.882
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,-0.19100000000000006,-1.813333333333335,LC_dv14_Tlc2p0_TTC02,CP5,16.267,1.6909999999999998,1.882
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,1.6300000000000006,-0.003333333333331486,LC_dv14_Tlc2p0_TTC03,CP1,15.067,3.5120000000000005,1.882
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,1.235,-1.3166666666666682,LC_dv14_Tlc2p0_TTC03,CP2,15.367,3.117,1.882
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,0.7739999999999998,-1.7066666666666683,LC_dv14_Tlc2p0_TTC03,CP3,15.667,2.6559999999999997,1.882
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,0.2949999999999997,-1.5966666666666671,LC_dv14_Tlc2p0_TTC03,CP4,15.967,2.1769999999999996,1.882
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,-0.19900000000000007,-1.8266666666666698,LC_dv14_Tlc2p0_TTC03,CP5,16.267,1.6829999999999998,1.882
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,1.6330000000000007,-0.0066666666666659324,LC_dv14_Tlc2p0_TTC04,CP1,15.067,3.5150000000000006,1.882
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,1.2380000000000002,-1.3166666666666682,LC_dv14_Tlc2p0_TTC04,CP2,15.367,3.12,1.882
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,0.7830000000000001,-1.68333333333333,LC_dv14_Tlc2p0_TTC04,CP3,15.667,2.665,1.882
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,0.3099999999999994,-1.5766666666666693,LC_dv14_Tlc2p0_TTC04,CP4,15.967,2.1919999999999993,1.882
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,-0.1869999999999996,-1.8366666666666642,LC_dv14_Tlc2p0_TTC04,CP5,16.267,1.6950000000000003,1.882
