video,cp,vy_oth,p_change,gc_1,gc_2,gc_3,gc_4,gc_6,p,n,ttc_start,ttc_true,distance,dv_kph,lcd,x_looming,gate_g1
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.004456881393541194,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0625,24,2.0,2.0,3.888888888888889,7.0,3.0,-1.4758358334005228,0.06654594577985537
LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,-0.7452685704029287,0.2941339529016985,0.255,0.255,0.255,0.255,0.255,0.75,12,2.0,1.7,3.305555555555556,7.0,3.0,-1.1718197333747336,0.8406103904737934
LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,-1.0017426276752839,0.8461721155023316,0.78,0.78,0.78,0.78,0.78,0.9166666666666666,12,2.0,1.4,2.722222222222222,7.0,3.0,-0.818459091831626,0.9924147461700809
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,-1.0686108832993633,0.9175346666694358,1.0,1.0,1.0,1.0,1.0,0.875,12,2.0,1.1,2.138888888888889,7.0,3.0,-0.4001972745314972,0.995487571676805
LC_dv07_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,-1.0793697565084017,0.9257987494312795,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,12,2.0,0.8,1.5555555555555556,7.0,3.0,0.1018040459973522,0.9995847498906949
LC_dv07_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.0011524930533690608,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0416666666666666,24,3.0,3.0,5.833333333333333,7.0,3.0,-2.2555553199780123,0.06772784818573098
LC_dv07_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,-0.8486109444080897,0.5352165369978247,0.47,0.47,0.47,0.47,0.47,0.75,12,3.0,2.7,5.25,7.0,3.0,-2.0507658466895697,0.9099429885674447
LC_dv07_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,-1.022693377387466,0.8726042996931281,0.815,0.815,0.815,0.815,0.815,0.875,12,3.0,2.4,4.666666666666666,7.0,3.0,-1.8234337124089448,0.9943181824729044
LC_dv07_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,-1.0419442240398116,0.8934828410034699,1.0,1.0,1.0,1.0,1.0,0.7916666666666666,12,3.0,2.1,4.083333333333333,7.0,3.0,-1.5682605400132,0.9946836726974788
LC_dv07_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,-1.0673937122671868,0.9165503039661063,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,12,3.0,1.8,3.5,7.0,3.0,-1.278005697428891,0.9995550961287482
