eps,eps_step0,eps_last,term_speed,term_accel,term_steer,term_lateral,term_collision,term_safety,collision_share,collide_frac,gap_m,v_ego,v_other,dv,seed,tag,mode,eps_lo,eps_hi,deposit_eps,deposit_share,thw,part,ttc,dv_kph,dG,a_best_first,omega_best_first,omega_best_max,acts_brake,acts_steer,acts
49392.58868485136,66.10285811067436,147239.28644038463,7.563999999999666,15.000000000000004,-5.684341886080802e-14,0.0,14565.96046644934,0.0,0.9948612106693585,0.0,91.7,25.0,25.0,0.0,4.0,v25_thw3.67,released,4390.917499858567,283827.9954878895,7592.184,0.9992,3.668,A,,,,,,,,,
25962.09770796797,36.30483647814479,94230.39391131472,7.563999999999666,14.999999999999986,-1.4210854715202004e-14,0.0,13172.894074592197,21.81694426648383,0.8794840186963756,0.0,74.2,20.0,20.0,0.0,4.0,v20_thw3.71,released,7140.2408706865735,53356.7044301973,6695.3266,0.9994,3.71,A,,,,,,,,,
99723.24932658266,25.068798506960665,148331.13675173913,7.563999999999672,14.99999999999999,1.4210854715202004e-14,0.0,94129.91722524936,5043.140927134501,0.9836680575918173,0.5568667644854074,56.699999999999996,15.0,15.0,0.0,4.0,v15_thw3.78,released,44479.13335081771,244608.4363206388,6246.0999,0.9934,3.78,A,,,,,,,,,
77195.51238764342,22.918542815522763,96992.84884572361,7.563999999999673,15.000000000000004,1.4210854715202004e-14,0.0,59106.93813348651,14391.239006880045,0.97799666176394,0.5430462123378443,39.2,10.0,10.0,0.0,4.0,v10_thw3.92,released,58652.977297351455,1050033.3156581807,5371.7689,0.9993,3.92,A,,,,,,,,,
22.56399999999956,22.56399999999959,22.56399999999956,7.56399999999966,15.0,-9.947598300641403e-14,0.0,0.0,0.0,0.0,0.0,15.25,30.5,30.5,0.0,4.0,thw0.5,certain,22.56399999999956,22.56399999999962,,,,B1,,,,,,,,,
22.563999999999567,22.56399999999959,22.56399999999956,7.563999999999662,15.0,-9.947598300641403e-14,0.0,0.0,0.0,0.0,0.0,30.5,30.5,30.5,0.0,4.0,thw1.0,certain,22.56399999999956,22.563999999999638,,,,B1,,,,,,,,,
22.563999999999567,22.56399999999959,22.56399999999956,7.563999999999662,15.0,-9.947598300641403e-14,0.0,0.0,0.0,0.0,0.0,45.75,30.5,30.5,0.0,4.0,thw1.5,certain,22.56399999999956,22.563999999999638,,,,B1,,,,,,,,,
22.563999999999567,22.56399999999959,22.56399999999956,7.563999999999662,15.0,-9.947598300641403e-14,0.0,0.0,0.0,0.0,0.0,61.0,30.5,30.5,0.0,4.0,thw2.0,certain,22.56399999999956,22.563999999999638,,,,B1,,,,,,,,,
22.563999999999567,22.56399999999959,22.56399999999956,7.563999999999662,15.0,-9.947598300641403e-14,0.0,0.0,0.0,0.0,0.0,76.25,30.5,30.5,0.0,4.0,thw2.5,certain,22.56399999999956,22.563999999999638,,,,B1,,,,,,,,,
22.563999999999567,22.56399999999959,22.56399999999956,7.563999999999662,15.0,-9.947598300641403e-14,0.0,0.0,0.0,0.0,0.0,91.5,30.5,30.5,0.0,4.0,thw3.0,certain,22.56399999999956,22.563999999999638,,,,B1,,,,,,,,,
22.563999999999567,22.56399999999959,22.56399999999956,7.563999999999662,15.0,-9.947598300641403e-14,0.0,0.0,0.0,0.0,0.0,106.75,30.5,30.5,0.0,4.0,thw3.5,certain,22.56399999999956,22.563999999999638,,,,B1,,,,,,,,,
298415.9061779075,107404.99486465048,3463597.9964322248,7.563999999999667,15.0,-5.684341886080802e-14,0.0,291727.8802341245,10690.168757922165,0.9999834790139107,0.18666666666666665,3.8888888888888893,30.5,28.555555555555557,1.9444444444444429,4.0,ttc2_dv7,certain,127512.26200788937,2039966.7409199947,,,,B2,2.0,7.0,,,,,,,
524188.88186029013,309316.0708848005,821667.4830642261,7.563999999999668,15.0,0.0,0.0,513626.83696637367,13293.770402658749,0.9999587562984762,0.14882964938811943,7.777777777777779,30.5,26.61111111111111,3.8888888888888893,4.0,ttc2_dv14,certain,143236.37065528997,2946407.430052881,,,,B2,2.0,14.0,,,,,,,
1018790.7827262455,429829.75982155267,902604.8164705393,7.563999999999664,15.000000000000007,-6.394884621840902e-14,0.0,1002037.2883691746,18060.75964146667,1.0001800646007153,0.08539519930880406,11.666666666666668,30.5,24.666666666666664,5.833333333333336,4.0,ttc2_dv21,certain,202183.19927219424,49236745.41097884,,,,B2,2.0,21.0,,,,,,,
5064241.193276808,2231229.569121381,3276382.2259546607,7.563999999999668,15.0,-1.4210854715202004e-14,0.0,5040329.4329738235,22165.847167172447,0.9976169927958898,0.04,15.555555555555557,30.5,22.72222222222222,7.777777777777779,4.0,ttc2_dv28,certain,373853.18277574965,23593963.715621945,,,,B2,2.0,28.0,,,,,,,
1726504.6744180054,1247422.0438554292,1901464.5789493727,7.563999999999672,15.0,-9.947598300641403e-14,0.0,1682627.52820998,26552.665550521033,0.9999932610086765,0.04,19.444444444444446,30.5,20.77777777777778,9.722222222222221,4.0,ttc2_dv35,certain,272858.5250510775,15929267.421023136,,,,B2,2.0,35.0,,,,,,,
