exp,seed,rt_brake,rt_replan
18,31,1.2000000000000002,1.0
19,0,1.2000000000000002,1.0
19,1,1.2000000000000002,1.0
19,2,1.2000000000000002,1.0
19,3,1.2000000000000002,1.0
19,4,1.2000000000000002,1.0
19,5,1.4000000000000001,1.0
19,6,1.2000000000000002,1.0
19,7,1.2000000000000002,1.0
19,8,1.2000000000000002,1.0
19,9,1.2000000000000002,1.0
19,10,1.2000000000000002,1.0
19,11,1.2000000000000002,1.0
19,12,1.2000000000000002,1.0
19,13,1.2000000000000002,1.0
19,14,1.2000000000000002,1.0
19,15,1.2000000000000002,1.0
19,16,1.2000000000000002,1.0
19,17,1.2000000000000002,1.0
19,18,1.2000000000000002,1.0
19,19,1.2000000000000002,1.0
19,20,1.2000000000000002,1.0
19,21,1.2000000000000002,1.0
19,22,1.2000000000000002,1.0
19,23,1.2000000000000002,1.0
19,24,1.2000000000000002,1.0
19,25,1.2000000000000002,1.0
19,26,1.2000000000000002,1.0
19,27,1.2000000000000002,1.0
19,28,1.2000000000000002,1.0
19,29,1.2000000000000002,1.0
19,30,1.2000000000000002,1.0
19,31,1.2000000000000002,1.0
20,0,3.2,1.6
20,1,2.2,1.6
20,2,2.0,1.6
20,3,2.4000000000000004,1.6
20,4,1.8,1.6
20,5,2.2,1.6
20,6,4.2,1.6
20,7,2.8000000000000003,1.6
20,8,1.8,1.6
20,9,3.4000000000000004,1.6
20,10,3.2,1.6
20,11,2.4000000000000004,1.6
20,12,2.2,1.6
20,13,2.0,1.6
20,14,2.2,1.6
20,15,1.8,1.6
20,16,2.2,1.6
20,17,1.8,1.6
20,18,2.4000000000000004,1.6
20,19,1.8,1.6
20,20,2.2,1.6
20,21,1.8,1.6
20,22,1.8,1.6
20,23,2.6,1.6
20,24,3.6,1.6
20,25,2.8000000000000003,1.6
20,26,2.2,1.6
20,27,2.6,1.6
20,28,2.6,1.6
20,29,3.6,1.6
20,30,3.0,1.6
20,31,2.2,1.6
21,0,2.2,1.4000000000000001
21,1,1.6,1.4000000000000001
21,2,1.6,1.4000000000000001
21,3,1.8,1.6
21,4,1.8,1.4000000000000001
21,5,1.8,1.6
21,6,2.4000000000000004,1.6
21,7,1.8,1.4000000000000001
21,8,1.8,1.4000000000000001
21,9,2.0,1.6
21,10,1.6,1.4000000000000001
21,11,1.8,1.6
21,12,1.8,1.6
21,13,1.6,1.4000000000000001
21,14,1.8,1.4000000000000001
21,15,1.8,1.6
21,16,2.0,1.6
21,17,2.6,1.6
21,18,1.6,1.4000000000000001
21,19,1.6,1.4000000000000001
21,20,1.6,1.4000000000000001
21,21,1.6,1.4000000000000001
21,22,1.8,1.4000000000000001
21,23,1.8,1.6
21,24,1.6,1.4000000000000001
21,25,1.8,1.6
21,26,1.8,1.6
21,27,1.8,1.4000000000000001
21,28,2.2,1.6
21,29,1.6,1.4000000000000001
21,30,1.6,1.4000000000000001
21,31,1.6,1.4000000000000001
22,0,1.8,1.2000000000000002
22,1,1.4000000000000001,1.2000000000000002
22,2,1.4000000000000001,1.2000000000000002
22,3,1.4000000000000001,1.2000000000000002
22,4,1.4000000000000001,1.2000000000000002
22,5,1.4000000000000001,1.2000000000000002
22,6,1.4000000000000001,1.2000000000000002
22,7,1.4000000000000001,1.2000000000000002
22,8,1.4000000000000001,1.2000000000000002
22,9,1.8,1.2000000000000002
22,10,1.4000000000000001,1.2000000000000002
22,11,1.4000000000000001,1.2000000000000002
22,12,1.4000000000000001,1.2000000000000002
22,13,1.4000000000000001,1.2000000000000002
22,14,1.4000000000000001,1.2000000000000002
