exp,seed,v0,thw0,lead_onset_t,rt_brake,rt_replan,brake_onset_idx,replan_onset_idx,lead_onset_idx,min_gap,collided,eps_pre_median,eps_max
2,5,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-23.63943405151367,1,1001.28,12697.960447605881
2,6,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-23.562449645996093,1,1001.28,11876.54671016262
2,7,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-38.17951126098633,1,1001.28,11697.511691189933
2,8,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-21.80862350463867,0,1001.28,8153.549351904439
2,9,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-26.872008514404296,0,1001.28,7417.222893460286
2,10,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-20.918318939208984,1,1001.28,10009.418406868026
2,11,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-13.794711303710937,1,1001.28,10631.414793143163
2,12,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-22.455935668945312,1,1001.28,8891.647778935529
2,13,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-12.47792739868164,1,1001.28,9423.95554389003
2,14,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-5.637263488769531,1,1001.28,10255.842310106898
2,15,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-14.534438323974609,1,1001.28,8824.441114572792
2,16,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-8.389414978027343,1,1001.28,8865.518858240299
2,17,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-13.168589782714843,0,1001.28,15174.004300922064
2,18,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-9.489134979248046,1,1001.28,12891.917009072768
2,19,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-8.3749267578125,1,1001.28,8344.707877270439
2,20,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-19.406073760986327,1,1001.28,11306.735027972205
2,21,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-23.751170349121093,1,1001.28,7704.315783498426
2,22,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-7.0531455993652346,1,1001.28,10456.149756441506
2,23,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-17.402262878417968,0,1001.28,11960.550528331027
2,24,15.0,0.78,0.8,0.8,0.4,8,6,4,-28.052672576904296,1,1001.28,10598.819295151725
2,25,15.0,0.78,0.8,0.8,0.4,8,6,4,-10.21352310180664,1,1001.28,10176.38650130726
2,26,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-5.461085510253906,1,1001.28,10034.650849073902
2,27,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-17.222998809814452,1,1001.28,9076.271992755801
2,28,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-7.3860923767089846,1,1001.28,10520.740127584228
2,29,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-31.800147247314452,0,1001.28,10748.18694284472
2,30,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-19.979388427734374,0,1001.28,12371.072364489233
2,31,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-6.365630340576172,1,1001.28,10148.63472432619
3,0,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.116160583496094,1,1001.28,8165.085990011485
3,1,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.9678489685058596,1,1001.28,9658.486716917012
3,2,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.636985015869141,1,1001.28,8791.34482900578
3,3,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.276391220092774,1,1001.28,9776.674404233894
3,4,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.436188888549805,1,1001.28,8227.076637401526
3,5,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-3.884543609619141,1,1001.28,9881.317807023135
3,6,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.1694385528564455,1,1001.28,9959.294484963124
3,7,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.511628341674805,1,1001.28,9790.513604992027
3,8,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.879168701171875,1,1001.28,9950.54343155182
3,9,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.885981750488281,1,1001.28,8767.174701260714
3,10,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.060593795776367,1,1001.28,9524.104952722522
3,11,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.346148681640625,1,1001.28,9415.906109301253
3,12,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.202964019775391,1,1001.28,10165.158880327557
