v0,time_gap,repeat,response_time,min_decel,inv_ttc_at_onset,max_lateral,maneuver,collided,min_clearance
10.0,3.5,2,0.0,-4.0736319729240655,0.0458174542838431,0.16383716589906935,brake,0,3.917153900446368
10.0,3.5,3,0.0,-3.303330405827668,0.0,0.1338955592057594,brake,0,11.443035013453486
10.0,3.5,4,1.4000000000000004,-3.9213238370220203,0.3097651022743127,0.22686654172079862,brake,1,-0.05328219292485148
15.0,0.5,0,0.20000000000000018,-7.418273869178853,0.21018338304535297,0.4453350595544595,brake,1,-0.2524465320264797
15.0,0.5,1,1.0,-3.3269193355579207,7.917173532103492,3.9659333806842847,both,0,0.9313873668521664
15.0,0.5,2,0.20000000000000018,-5.878431707470078,0.0,0.12445855416826422,brake,1,-1.083403000472626
15.0,0.5,3,0.8000000000000003,-7.258245534567307,2.5014892155748534,0.35785955377501383,brake,1,-0.04636636077578249
15.0,0.5,4,0.40000000000000036,-7.98829071332842,0.9670998339140123,0.08520359013825493,brake,1,-0.6086617649612878
15.0,1.0,0,0.40000000000000036,-7.760547192346231,0.2855384108996575,0.4967603570951312,brake,1,-0.5385905633191586
15.0,1.0,1,0.0,-6.876938452706316,0.0,0.4028432946706611,brake,0,0.6857320041352208
15.0,1.0,2,0.6000000000000001,-7.987571636827081,0.35756403170359086,0.8594027892314131,both,1,-0.9675401304218144
15.0,1.0,3,0.20000000000000018,-7.5548082441025715,0.16863448919204713,0.7020697066422481,both,0,0.7835451245238856
15.0,1.0,4,0.40000000000000036,-6.407130410934771,0.0,0.1805655630017734,brake,1,-0.26116678525629045
15.0,1.5,0,0.8000000000000003,-7.363201427282449,0.37286123140680977,1.2319522260954205,both,1,-0.3805058934688761
15.0,1.5,1,1.4000000000000004,-5.997558521858565,1.065869220896234,3.9297356608408265,both,0,1.4628981603255207
15.0,1.5,2,1.4000000000000004,-7.827128999651734,1.062949056288341,3.2957074889871674,both,0,0.2570437027264314
15.0,1.5,3,0.20000000000000018,-6.697407498788905,0.11745885349273588,0.1962655901645768,brake,1,-0.15696503577397625
15.0,1.5,4,1.2000000000000002,-7.933757836735365,0.8830956091032935,1.0254152996701529,both,1,-0.18473275981652382
15.0,2.0,0,0.0,-5.921230688631589,0.026979337311127297,0.1563411711832454,brake,0,2.7907884467606747
15.0,2.0,1,0.0,-8.0,0.0,3.8195421048155924,both,0,6.702152026659621
15.0,2.0,2,2.2,-7.930143393793221,4.0666583711727755,0.46161654579690864,brake,1,-1.7128223732345402
15.0,2.0,3,0.20000000000000018,-6.79401753044544,0.08459976246216047,0.37154384416960734,brake,0,1.3663105693764974
15.0,2.0,4,0.8000000000000003,-8.0,0.3307532698677127,0.40479976817719227,brake,1,-1.0709574605469472
15.0,2.5,0,0.20000000000000018,-6.252587909517251,0.0,0.2986264176926262,brake,0,1.5842896412428642
15.0,2.5,1,0.0,-5.680564029245343,0.0,0.12326640591858744,brake,0,4.869062379233685
15.0,2.5,2,0.0,-5.857813439759731,0.021781227143134334,0.29090121577419475,brake,0,2.797867884727185
15.0,2.5,3,0.6000000000000001,-6.549228851710663,0.17088279347402868,1.0852690797432132,both,1,-0.05359185745366535
15.0,2.5,4,1.0,-7.832645236346915,0.33931126692344743,1.3672153442867638,both,1,-1.6735370419245768
15.0,3.0,0,0.0,-3.194065262720113,0.0,0.14118946577038838,brake,0,7.180898164369554
15.0,3.0,1,2.4000000000000004,-4.137032393592906,0.7549878830727158,0.6108496605398804,both,1,-1.624399934991722
15.0,3.0,2,0.0,-4.3628039114036845,0.0,0.24387491446693402,brake,0,9.478794400871653
15.0,3.0,3,0.0,-4.9174425754641025,0.0,0.2137961014527988,brake,0,19.77617521793808
15.0,3.0,4,0.0,-5.229031594279964,0.0,0.20571820871722463,brake,0,0.5701970734301396
15.0,3.5,0,0.0,-3.6965989584491155,0.0,0.11069693411308429,brake,0,15.219208358733372
15.0,3.5,1,0.0,-4.25866137384646,0.0,0.2195555338520765,brake,0,0.9810018465427701
15.0,3.5,2,0.20000000000000018,-5.370050033480501,0.025609191380736144,0.20705351725930884,brake,0,4.434564541077424
15.0,3.5,3,1.4000000000000004,-5.701703805127411,0.19539654563356368,0.8467781247808596,both,0,4.047665491032848
15.0,3.5,4,0.8000000000000003,-5.326232682043282,0.09888687597292908,0.4652484509771253,brake,0,4.908461101594173
