exp,seed,v0,thw0,lead_onset_t,rt_brake,rt_replan,brake_onset_idx,replan_onset_idx,lead_onset_idx,min_gap,collided,eps_pre_median,eps_max
4,6,25.0,1.168,0.8,1.4000000000000001,0.6000000000000001,11,7,4,-83.96010131835938,0,0.0,17703.966660606042
4,7,25.0,1.168,0.8,0.8,0.6000000000000001,8,7,4,-153.20965881347655,0,0.0,11338.363814944927
4,8,25.0,1.168,0.8,3.8000000000000003,0.6000000000000001,23,7,4,-173.61557312011718,0,0.0,16075.520413646253
4,9,25.0,1.168,0.8,2.4000000000000004,0.6000000000000001,16,7,4,-151.981982421875,0,0.0,15786.944323480884
4,10,25.0,1.168,0.8,1.8,0.6000000000000001,13,7,4,-141.95001525878905,0,0.0,23260.314473191866
4,11,25.0,1.168,0.8,1.8,0.6000000000000001,13,7,4,-156.261767578125,0,0.0,57772.18213143101
4,12,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-128.81483764648436,0,0.0,6887.733409824241
4,13,25.0,1.168,0.8,0.8,0.6000000000000001,8,7,4,-181.8610870361328,0,0.0,16347.029603800389
4,14,25.0,1.168,0.8,1.2000000000000002,0.6000000000000001,10,7,4,-125.97548217773438,0,0.0,7977.158907999461
4,15,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-168.8243438720703,0,0.0,16564.785704120342
4,16,25.0,1.168,0.8,1.4000000000000001,0.6000000000000001,11,7,4,-108.54530639648438,0,0.0,10686.163246563096
4,17,25.0,1.168,0.8,1.4000000000000001,0.6000000000000001,11,7,4,-107.28030700683594,0,0.0,16583.47542506898
4,18,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-181.65338439941405,0,0.0,16634.79729200205
4,19,25.0,1.168,0.8,1.8,0.6000000000000001,13,7,4,-141.51101989746093,0,0.0,15546.826408026634
4,20,25.0,1.168,0.8,2.0,0.6000000000000001,14,7,4,-161.74896545410155,0,0.0,15213.156050678353
4,21,25.0,1.168,0.8,0.8,0.6000000000000001,8,7,4,-117.92288513183594,0,0.0,7763.710831931181
4,22,25.0,1.168,0.8,1.6,0.6000000000000001,12,7,4,-124.57442016601563,0,0.0,16251.246532771753
4,23,25.0,1.168,0.8,4.2,0.6000000000000001,25,7,4,-210.82266540527343,0,0.0,15960.566252336204
4,24,25.0,1.168,0.8,2.6,0.6000000000000001,17,7,4,-138.07847900390624,0,0.0,17537.940910807196
4,25,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-129.88060302734374,0,0.0,15333.117172886152
4,26,25.0,1.168,0.8,0.8,0.6000000000000001,8,7,4,-77.93799133300782,0,0.0,6826.811096073388
4,27,25.0,1.168,0.8,0.8,0.6000000000000001,8,7,4,-139.46710510253905,0,0.0,15377.867356831404
4,28,25.0,1.168,0.8,2.4000000000000004,0.6000000000000001,16,7,4,-170.14352722167968,0,0.0,7882.615086982569
4,29,25.0,1.168,0.8,0.8,0.6000000000000001,8,7,4,-95.24412841796875,0,0.0,27135.657771090657
4,30,25.0,1.168,0.8,0.8,0.6000000000000001,8,7,4,-95.54297180175782,0,0.0,28424.957639246517
4,31,25.0,1.168,0.8,1.6,0.6000000000000001,12,7,4,-156.8192169189453,0,0.0,15103.629511926489
5,0,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-38.63137359619141,0,0.0,5756.825324344381
5,1,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-46.39364929199219,0,0.0,11035.16988089901
