seed_id,omega,v_f0,dv_lead,p_inj,t_nr,a_l_min,a_f_min
2835,0.009633484,0.0,1.306837964,0.0031771667463743256,-0.14999999999999947,0.0,0.0
2836,0.100371174,0.0,1.664177325,0.0035752973881429265,-0.14999999999999947,0.0,0.0
2837,0.02986359,0.0,1.422705168,0.003301164933643762,-0.14999999999999947,0.0,0.0
2838,0.34752001,0.0,2.691148582,0.005018044703566196,-0.09999999999999964,0.0,0.0
2839,0.010456282,0.0,1.474782415,0.0033584566584911493,-0.14999999999999947,0.0,0.0
2840,0.143422805,0.0,2.220748745,0.004296615481672594,-0.14999999999999947,0.0,0.0
2841,0.361789191,0.0,1.210631598,0.0030777449286339582,-0.09999999999999964,0.0,0.0
2842,0.670968765,0.0,2.339223253,0.0044679506039364825,-0.14999999999999947,0.0,0.0
2843,0.339152061,0.0,1.748910725,0.0036767736230182125,-0.20000000000000018,0.0,0.0
2844,0.113452752,0.0,1.854235629,0.0038069190214568165,-0.20000000000000018,0.0,0.0
2845,0.392063736,0.0,1.326364898,0.0031977338438928396,-0.14999999999999947,0.0,0.0
2846,1.305194262,0.0,1.990770889,0.003982482604786903,-0.14999999999999947,0.0,0.0
2847,0.023605379,0.0,1.308930383,0.0031793643018436383,0.0,0.0,0.0
2848,0.097356413,0.0,1.294831595,0.003164586339053584,-0.14999999999999947,0.0,0.0
2849,0.175303951,0.0,1.812645899,0.0037549889328392107,-0.14999999999999947,0.0,0.0
2850,0.036890221,0.0,1.182105749,0.0030488662836235065,-0.14999999999999947,0.0,0.0
2851,1.022532149,0.0,1.054767058,0.0029232121575572846,-0.14999999999999947,0.0,0.0
2852,0.060699437,0.0,1.211398755,0.003078525327419619,-0.14999999999999947,0.0,0.0
2853,0.091827161,0.0,1.2236808,0.003091046265247259,0.0,0.0,0.0
2854,0.146905793,0.0,1.195214388,0.003062103344834143,-0.09999999999999964,0.0,0.0
2855,0.170937567,0.0,1.191589736,0.003058437462648692,-0.14999999999999947,0.0,0.0
2856,0.605158284,0.0,1.472216015,0.0033556102113302165,-0.14999999999999947,0.0,0.0
2857,0.162835011,0.0,1.463815208,0.00334630950909172,-0.09999999999999964,0.0,0.0
2858,7.561425753,0.0,0.552852366,0.0024762529599512105,-0.10000000000000053,0.0,-8.881784197001252e-16
2859,0.022830852,0.0,1.43291924,0.0033123244203539888,-0.14999999999999947,0.0,0.0
2860,0.788140966,0.0,2.587680939,0.004849667012877171,-0.20000000000000018,0.0,0.0
2861,0.320004284,0.0,1.559557164,0.0034538469011264057,-0.09999999999999964,0.0,0.0
2862,1.059267066,0.0,2.0616025,0.00407671476948213,-0.14999999999999947,0.0,0.0
2863,0.931807494,0.0,1.384233783,0.0032594679822350535,-0.09999999999999964,0.0,0.0
2864,0.109605624,0.0,1.260841867,0.003129240149783876,-0.14999999999999947,0.0,0.0
2865,0.218085429,0.0,1.260075817,0.0031284480797125224,-0.09999999999999964,0.0,0.0
2866,0.031235757,0.0,1.961617402,0.0039443308396580066,-0.14999999999999947,0.0,0.0
2867,0.078796319,0.0,1.33901647,0.003211130134202991,-0.09999999999999964,0.0,0.0
2868,0.004385661,0.0,1.730844843,0.003654900057988443,0.0,0.0,0.0
2869,0.020143061,0.0,1.692309529,0.003608675060807103,-0.09999999999999964,0.0,0.0
2870,4.668980191,0.0,0.85877381,0.0027398281751189486,-0.15000000000000036,0.0,-3.552713678800501e-15
2871,0.067063277,0.0,2.223069373,0.004299907870782703,-0.14999999999999947,0.0,0.0
2872,1.932878038,0.0,0.378118785,0.0023372188614922437,-0.09999999999999964,0.0,-8.881784197001252e-16
2873,0.088423186,0.0,1.625794713,0.0035302536596879754,0.0,0.0,0.0
2874,0.953238649,0.0,1.663071312,0.0035739914536951703,-0.09999999999999964,0.0,0.0
2875,0.221375993,0.0,1.489788509,0.003375148463660466,-0.14999999999999947,0.0,0.0
2876,2.796628161,0.0,2.181898883,0.004241868549908532,-0.14999999999999947,0.0,0.0
2877,1.261591634,0.0,1.678515474,0.0035922703803597336,-0.14999999999999947,0.0,0.0
2878,3.470382982,0.0,2.081300809,0.0041033131891271835,-0.20000000000000018,0.0,0.0
2879,0.661373159,0.0,1.86891446,0.003825417719881927,-0.14999999999999947,0.0,0.0
2880,0.027363078,0.0,1.563926758,0.003458836177075015,0.0,0.0,0.0
2881,0.781289638,0.0,0.78806062,0.0026765195274160688,-0.09999999999999964,0.0,-1.7763568394002505e-15
2882,0.082392336,0.0,1.069953814,0.0029379225666190437,-0.09999999999999964,0.0,0.0
2883,0.008503834,0.0,2.433406303,0.004608994955756397,0.0,0.0,0.0
2884,1.928427017,0.0,1.342185079,0.0032144940097106815,-0.09999999999999964,0.0,0.0
2885,0.060824269,0.0,3.238568465,0.006010524791347527,-0.20000000000000018,0.0,0.0
2886,0.781289638,0.0,0.743700876,0.0026375516544973414,-0.09999999999999964,0.0,-3.552713678800501e-15
2887,0.281884611,0.0,1.116014354,0.0029829912971614876,0.0,0.0,0.0
2888,3.363619068,0.0,2.962622299,0.005487986717066047,-0.20000000000000018,0.0,0.0
2889,0.258153409,0.0,1.302298645,0.003172404546948506,-0.14999999999999947,0.0,0.0
2890,0.033168785,0.0,1.679268046,0.0035931634626538617,-0.14999999999999947,0.0,0.0
2891,0.172576665,0.0,1.400243423,0.0032767557674159525,-0.09999999999999964,0.0,0.0
2892,0.539936171,0.0,1.370292638,0.0032444879004267973,-0.14999999999999947,0.0,0.0
2893,0.272601894,0.0,1.438568977,0.003318513239305896,-0.14999999999999947,0.0,0.0
2894,0.087497291,0.0,1.315292699,0.0031860556131289735,-0.09999999999999964,0.0,0.0
2895,0.045565015,0.0,1.235682336,0.0031033302770270064,-0.14999999999999947,0.0,0.0
2896,0.073704007,0.0,0.956179907,0.002829486992801583,0.0,0.0,0.0
2897,0.023758877,0.0,2.59729186,0.004865067499761641,-0.14999999999999947,0.0,0.0
2898,0.321297047,0.0,1.426085444,0.0033048539332653083,-0.14999999999999947,0.0,0.0
2899,0.017195528,0.0,1.759753125,0.0036899638136142815,-0.14999999999999947,0.0,0.0
2900,0.078577488,0.0,2.517772391,0.00473909630780564,-0.09999999999999964,0.0,0.0
2901,0.427218985,0.0,1.28400114,0.003153280672345256,-0.14999999999999947,0.0,0.0
2902,1.05864699,0.0,1.895133605,0.0038586829560571054,-0.20000000000000018,0.0,0.0
2903,1.364531235,0.0,0.655582622,0.0025618145514414072,-0.09999999999999964,0.0,-1.7763568394002505e-15
2904,0.020542516,0.0,1.039860803,0.0029088448726337477,-0.09999999999999964,0.0,0.0
2905,0.079554531,0.0,2.082316572,0.004104689439331893,-0.20000000000000018,0.0,0.0
2906,0.125558268,0.0,1.113790547,0.0029807996226115475,0.0,0.0,0.0
2907,0.065870255,0.0,1.378521344,0.003253321516235235,0.0,0.0,0.0
2908,0.013116344,0.0,1.261336348,0.0031297515327590375,0.0,0.0,0.0
2909,0.218560133,0.0,1.826280063,0.003771934702372547,-0.09999999999999964,0.0,0.0
2910,0.199287068,0.0,2.142155181,0.004186580757515923,-0.14999999999999947,0.0,0.0
2911,0.503218042,0.0,1.759297261,0.0036894082895589835,-0.14999999999999947,0.0,0.0
2912,0.022419698,0.0,1.420428004,0.0032986821081959277,-0.14999999999999947,0.0,0.0
2913,0.036288998,0.0,2.020784984,0.0040221446121482705,-0.14999999999999947,0.0,0.0
2914,0.01759981,0.0,1.275257492,0.0031441827563752985,-0.14999999999999947,0.0,0.0
2915,0.017850067,0.0,2.058683442,0.004072787831222014,-0.20000000000000018,0.0,0.0
2916,0.107452822,0.0,1.776333273,0.003710225415274971,-0.14999999999999947,0.0,0.0
2917,0.125497173,0.0,1.473189117,0.003356689215719611,0.0,0.0,0.0
2918,0.065167233,0.0,1.582638839,0.003480283306997151,-0.09999999999999964,0.0,0.0
2919,1.368034005,0.0,1.760265731,0.0036905885840322317,-0.14999999999999947,0.0,0.0
2920,0.422280014,0.0,1.829897762,0.0037764438803640967,0.0,0.0,0.0
2921,0.057889992,0.0,2.325157986,0.0044472590997223895,-0.09999999999999964,0.0,0.0
2922,0.012110177,0.0,1.232895644,0.003100473664679227,0.0,0.0,0.0
2923,0.208288348,0.0,1.412716775,0.003290288255975712,0.0,0.0,0.0
2924,0.686077224,0.0,1.669355544,0.0035814179422303375,-0.14999999999999947,0.0,0.0
2925,0.150518495,0.0,2.306838719,0.004420452483835546,-0.14999999999999947,0.0,0.0
2926,0.025277374,0.0,1.697882076,0.003615323401836933,-0.14999999999999947,0.0,0.0
2927,0.23194109,0.0,1.620598404,0.0035241991752023,0.0,0.0,0.0
2928,0.004352038,0.0,1.271805623,0.0031405982358420686,-0.14999999999999947,0.0,0.0
2929,0.055989786,0.0,1.525929948,0.0034156899917062774,-0.14999999999999947,0.0,0.0
2930,0.135897188,0.0,1.647779445,0.0035559840894905017,-0.09999999999999964,0.0,0.0
2931,0.04871773,0.0,1.21993845,0.0030872257561460584,-0.14999999999999947,0.0,0.0
2932,0.229533886,0.0,2.19816874,0.004264710862711288,0.0,0.0,0.0
2933,0.217042203,0.0,1.984958224,0.003974846626813494,-0.20000000000000018,0.0,0.0
2934,0.054790071,0.0,1.393541529,0.0032695077277328953,-0.09999999999999964,0.0,0.0
2935,1.528767436,0.0,2.482066838,0.004683594351767425,-0.20000000000000018,0.0,0.0
2936,1.794589255,0.0,0.598747813,0.0025141201292998108,-0.09999999999999964,0.0,-1.7763568394002505e-15
2937,0.123556172,0.0,1.015822087,0.002885823511899192,-0.09999999999999964,0.0,0.0
2938,0.056718606,0.0,1.540092366,0.003431708656880556,-0.14999999999999947,0.0,0.0
2939,0.041937816,0.0,2.294847975,0.0044029935743699206,-0.20000000000000018,0.0,0.0
2940,0.206810477,0.0,1.423505629,0.003302038130422966,-0.14999999999999947,0.0,0.0
2941,0.151338834,0.0,1.192606016,0.0030594648611531106,-0.09999999999999964,0.0,0.0
2942,0.044104563,0.0,1.333202953,0.003204967479482507,-0.14999999999999947,0.0,0.0
2943,0.040134879,0.0,1.540012874,0.003431618537385696,-0.14999999999999947,0.0,0.0
2944,0.105275452,0.0,1.391864988,0.003267697063453507,-0.14999999999999947,0.0,0.0
2945,0.019932419,0.0,1.401110846,0.003277695047595699,0.0,0.0,0.0
2946,0.543741361,0.0,1.390605215,0.003266337166308649,-0.09999999999999964,0.0,0.0
2947,0.01691312,0.0,1.730228176,0.0036541557109391037,-0.14999999999999947,0.0,0.0
2948,0.104448708,0.0,1.720683919,0.0036426545685895387,-0.14999999999999947,0.0,0.0
2949,0.014211226,0.0,0.974898277,0.002847048798456452,-0.14999999999999947,0.0,0.0
2950,0.450732014,0.0,2.352484015,0.004487546358449606,-0.20000000000000018,0.0,0.0
2951,0.910157002,0.0,1.865251592,0.0038207932974815046,-0.14999999999999947,0.0,0.0
2952,0.04732205,0.0,1.689636984,0.003605490897774368,0.0,0.0,0.0
2953,0.75279311,0.0,3.461414666,0.006468374597704566,-0.09999999999999964,0.0,0.0
2954,0.018972413,0.0,0.955260534,0.002828627214257115,-0.09999999999999964,0.0,0.0
2955,0.031248046,0.0,1.433437416,0.0033128915597749396,-0.14999999999999947,0.0,0.0
2956,0.050241543,0.0,1.846359284,0.003797029782185384,-0.14999999999999947,0.0,0.0
2957,0.216413913,0.0,2.11743035,0.0041525485148313996,-0.09999999999999964,0.0,0.0
2958,1.928427017,0.0,1.747220455,0.003674721582227239,-0.20000000000000018,0.0,0.0
2959,0.745267652,0.0,1.796905391,0.003735519513087846,-0.20000000000000018,0.0,0.0
2960,1.364531235,0.0,0.493146791,0.002427841634931538,0.0,0.0,-1.7763568394002505e-15
2961,0.007876424,0.0,2.203843504,0.004272706809577218,-0.09999999999999964,0.0,0.0
2962,1.73590606,0.0,1.601453676,0.0035019818267463254,-0.09999999999999964,0.0,0.0
2963,11.45768357,0.0,1.289947904,0.0031594833711215704,-0.14999999999999947,0.0,0.0
2964,0.130915911,0.0,2.230207537,0.0043100508903972925,-0.09999999999999964,0.0,0.0
2965,1.849216396,0.0,2.155774078,0.0042054448277232875,-0.14999999999999947,0.0,0.0
2966,0.033559571,0.0,2.291981552,0.004398830147493376,-0.20000000000000018,0.0,0.0
2967,0.109082101,0.0,1.533453321,0.0034241901417656688,0.0,0.0,0.0
2968,0.541003321,0.0,1.661962053,0.003572682163902123,-0.14999999999999947,0.0,0.0
2969,0.003440618,0.0,1.732123953,0.003656444487628995,-0.14999999999999947,0.0,0.0
2970,0.21809596,0.0,1.74872377,0.003676546597641654,-0.14999999999999947,0.0,0.0
2971,0.170265787,0.0,1.537098216,0.00342831583917365,-0.09999999999999964,0.0,0.0
2972,0.134703668,0.0,2.074590976,0.004094233619907111,-0.14999999999999947,0.0,0.0
2973,0.027128281,0.0,1.057316628,0.0029256766181818333,-0.14999999999999947,0.0,0.0
2974,0.165348462,0.0,0.866027848,0.0027464064887904364,0.0,0.0,0.0
2975,0.297860558,0.0,1.558182307,0.0034522785500702958,-0.14999999999999947,0.0,0.0
2976,0.123844622,0.0,2.238940996,0.004322493163693172,-0.14999999999999947,0.0,0.0
2977,0.014850278,0.0,1.338686144,0.0032107796537899974,0.0,0.0,0.0
2978,0.374300826,0.0,3.238277327,0.0060099482162243685,-0.09999999999999964,0.0,0.0
2979,1.59385677,0.0,0.593963626,0.0025101460013020028,-0.10000000000000053,0.0,-1.7763568394002505e-15
2980,0.02209181,0.0,1.846160253,0.0037967802182212853,-0.14999999999999947,0.0,0.0
2981,0.031712012,0.0,1.486583729,0.0033715767450982793,-0.14999999999999947,0.0,0.0
2982,0.643837839,0.0,1.441049874,0.003321234496716876,-0.09999999999999964,0.0,0.0
2983,10.03195587,0.0,0.786261756,0.0026749282000445747,-0.10000000000000053,0.0,-3.552713678800501e-15
2984,0.869643194,0.0,0.637578593,0.0025466091401193636,0.0,0.0,-1.7763568394002505e-15
2985,0.014358877,0.0,1.237830742,0.0031055343792549075,-0.14999999999999947,0.0,0.0
2986,0.301166835,0.0,1.49307883,0.0033788194407052678,-0.14999999999999947,0.0,0.0
2987,0.435022024,0.0,1.244810722,0.0031127060882488165,0.0,0.0,0.0
2988,0.20164924,0.0,3.163825758,0.005864293192631564,-0.20000000000000018,0.0,0.0
2989,2.293466807,0.0,0.766987036,0.0026579363315863773,-0.14999999999999947,0.0,-1.7763568394002505e-15
2990,0.034931264,0.0,1.660982216,0.0035715260320989535,-0.09999999999999964,0.0,0.0
2991,0.080048304,0.0,1.83383985,0.003781363497937843,0.0,0.0,0.0
2992,0.039343432,0.0,1.45166543,0.003332903676125784,-0.14999999999999947,0.0,0.0
2993,1.421317592,0.0,2.474396289,0.004671755664702075,-0.14999999999999947,0.0,0.0
2994,2.724036665,0.0,2.48691941,0.004691099202141297,-0.14999999999999947,0.0,0.0
2995,0.380488548,0.0,1.278743869,0.0031478072506599354,-0.09999999999999964,0.0,0.0
2996,3.470382982,0.0,1.479277751,0.0033634483286910134,-0.20000000000000018,0.0,0.0
2997,0.445631717,0.0,1.559291859,0.003453544202464221,-0.14999999999999947,0.0,0.0
2998,0.554656855,0.0,1.901837406,0.0038672344821806016,-0.09999999999999964,0.0,0.0
2999,0.131692681,0.0,2.437848429,0.004615755648571288,-0.09999999999999964,0.0,0.0
3000,8.59675229,0.0,2.725864149,0.005075832172736015,-0.14999999999999947,0.0,0.0
3001,4.949789697,0.0,1.062316334,0.0029305154407285277,-0.14999999999999947,0.0,-3.552713678800501e-15
3002,0.271787913,0.0,1.895509083,0.003859161426262682,-0.09999999999999964,0.0,0.0
3003,0.411122095,0.0,1.401722748,0.003278357800877314,-0.09999999999999964,0.0,0.0
3004,3.1912807,0.0,2.02577216,0.004028772905926288,0.0,0.0,0.0
3005,0.153366143,0.0,1.269830165,0.00313854869619603,-0.14999999999999947,0.0,0.0
3006,0.445631717,0.0,1.96507007,0.003948830108034923,-0.14999999999999947,0.0,0.0
3007,0.010456282,0.0,1.615249483,0.0035179776817542744,-0.14999999999999947,0.0,0.0
3008,0.189882603,0.0,1.297777826,0.0031676688277422925,-0.14999999999999947,0.0,0.0
3009,2.182193739,0.0,2.509942858,0.0047268700450832,-0.09999999999999964,0.0,0.0
3010,0.195544666,0.0,2.393709869,0.004549014915277889,-0.20000000000000018,0.0,0.0
3011,0.970299056,0.0,0.812384598,0.002698130151336352,-0.10000000000000053,0.0,-1.7763568394002505e-15
3012,0.100366857,0.0,1.510230772,0.0033980202183282993,-0.14999999999999947,0.0,0.0
3013,0.632002581,0.0,2.273340064,0.0043718491957536725,-0.14999999999999947,0.0,0.0
3014,0.009471191,0.0,1.451834042,0.003333089352630585,-0.09999999999999964,0.0,0.0
3015,1.366391472,0.0,0.897698593,0.002775312052396842,-0.14999999999999947,0.0,0.0
